Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61
R1,AT11,Burgenland,ss1,Agriculture,11.48416368,182.3217863
R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,59.37773729,114.0639378
R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,69.35240324,65.72306284
R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,16.48781738,11.07652468
R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,63.43950661,82.03230095
R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,133.926274,92.56461483
R1,AT11,Burgenland,ss8,Other_manufacturing,294.5595996,236.704
R1,AT11,Burgenland,ss9,Construction,201.0120291,227.5131289
R1,AT11,Burgenland,ss10,Distribution,336.3979445,324.468873
R1,AT11,Burgenland,ss11,Hotels_and_restaurant,123.9524748,146.2638852
R1,AT11,Burgenland,ss12,Transport_storage_and_communication,139.6801582,168.3649378
R1,AT11,Burgenland,ss13,Financial_intermediation,113.6284995,175.9355823
R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,159.8072999,722.7074131
R1,AT11,Burgenland,ss15,Non-Market_Service,976.6011122,285.0570402
R2,AT12,Niederosterreich,ss1,Agriculture,61.85733344,1106.24693
R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,320.438883,841.1138405
R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,463.7891339,598.2618806
R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,126.5594952,115.6897615
R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,518.0338142,915.0912356
R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,578.5545793,542.5446579
R2,AT12,Niederosterreich,ss8,Other_manufacturing,2274.282589,2475.803247
R2,AT12,Niederosterreich,ss9,Construction,1312.931569,1580.208128
R2,AT12,Niederosterreich,ss10,Distribution,3011.833441,2453.078668
R2,AT12,Niederosterreich,ss11,Hotels_and_restaurant,744.5935409,748.2175491
R2,AT12,Niederosterreich,ss12,Transport_storage_and_communication,1362.860998,1396.276697
R2,AT12,Niederosterreich,ss13,Financial_intermediation,768.1854476,1140.641713
R2,AT12,Niederosterreich,ss14,Real_estate_renting_and_busine_activitie,1211.76795,5448.297356
R2,AT12,Niederosterreich,ss15,Non-Market_Service,4409.306283,2349.830804
R3,AT13,Wien,ss1,Agriculture,85.55188782,50.76586034
R3,AT13,Wien,ss2,Mining_quarrying_and_energy_supply,477.041418,1113.844401
R3,AT13,Wien,ss3,Food_beverages_and_tobacco,428.6862326,487.8445982
R3,AT13,Wien,ss4,Textiles_and_leather_etc,123.8634566,99.7797656
