,RegionCode,T,Nuts0,sp61,tc,tl_mean,tl_diff,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,population,empden,labprod,unemployment
0,AT11,2000,AT,7.674766363649693,1.8789756912014652,4.209614201339109,2.4951528659333047,0.5,,276226,3.3724854867017684,0.0384076060848678,4.9
1,AT12,2000,AT,9.653733559011252,1.8943659108275148,4.346249446963742,2.474623256621822,0.5,,1535083,3.697734754373821,0.0479191769076879,4.1
2,AT13,2000,AT,10.013553036162165,1.80682400078904,4.0839613490024975,1.696204822990813,0.5,,1548537,188.14328960645813,0.0773122418879056,7.5
3,AT21,2000,AT,8.547573777091552,1.8694454310882735,4.235753831063909,2.2765464455680773,0.5,,560696,2.5517949156528617,0.0518592794302471,4.6
4,AT22,2000,AT,9.337527970200895,1.8965067428049591,4.24650085771007,2.354423398043784,0.5,,1182930,3.2053333989953714,0.0521004993278279,4.5
5,AT31,2000,AT,9.587810931929669,1.8661129439569448,4.262530641614125,2.404114154937098,0.5,,1370035,5.409532584308005,0.05558790411607,3.9
6,AT32,2000,AT,8.868955516642464,1.870276390870776,4.338588119904171,2.1197342650979696,0.5,,512854,3.518400340353117,0.061429746070133,3.3
7,AT33,2000,AT,9.097380643282396,1.880935004388201,4.345323931075948,2.03487314498927,0.5,,667459,2.456543600057463,0.0583979207277452,3.0
8,AT34,2000,AT,8.355628051920837,1.8406319590487208,4.2114809246364,2.169136393205143,0.5,,348366,6.38138434233879,0.0589505562422744,2.8
9,CZ01,2000,CZ,8.978034205864484,2.0689541963648246,5.055428583858217,5.042989361035625,0.5,,1186855,125.07727179064496,0.0250797528830313,4.0
10,CZ02,2000,CZ,8.241308195324365,2.1310050713422397,5.532018129381522,1.6711618105588937,0.5,,1111354,4.767676393849114,0.0140716669901028,7.5
11,CZ03,2000,CZ,8.207543734630143,2.1180515549101497,5.371606548534307,1.5262813977935128,0.5,,1177982,3.280196378250757,0.012882425433113,6.0
12,CZ04,2000,CZ,8.062591093909324,2.1162337838220187,5.354259047767008,1.5983992759414465,0.5,,1131974,5.707008772757288,0.0127544421487603,15.0
13,CZ05,2000,CZ,8.424682231949493,2.142511786675896,5.422338028310091,1.579368216656193,0.5,,1489407,5.61736350141107,0.012681646580514,6.8
14,CZ06,2000,CZ,8.518695515104675,2.1054609517823737,5.410827095756575,1.6546500850180408,0.5,,1658761,5.515854804519329,0.0125351294241944,7.1
15,CZ07,2000,CZ,8.11805061496787,2.1254623995773567,5.377493293637135,1.6005794274740754,0.5,,1240355,5.981177568639652,0.0120759427828348,10.9
16,CZ08,2000,CZ,8.06183255052594,2.09071213513297,5.23276056962743,1.429803804319774,0.5,,1281410,9.64214163618652,0.0122874380480365,14.1
17,EE00,2000,EE,8.000921284025582,1.898327224791884,4.863143248685196,1.8821292774772127,0.5,,1401250,1.3492666528516497,0.0105318259385665,13.4
