Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61
R1,AT11,Burgenland,ss1,Agriculture,8.627693017,187.1381689
R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,47.30316428,118.8999229
R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,64.95084672,80.69051772
R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,17.91621545,15.5871072
R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,51.18469449,74.64925586
R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,101.0164634,97.30963626
R1,AT11,Burgenland,ss8,Other_manufacturing,224.2106647,214.2152927
R1,AT11,Burgenland,ss9,Construction,183.763184,212.5189631
R1,AT11,Burgenland,ss10,Distribution,301.2070196,289.2393414
R1,AT11,Burgenland,ss11,Hotels_and_restaurant,112.459278,129.8644064
R1,AT11,Burgenland,ss12,Transport_storage_and_communication,132.9164586,177.0991116
R1,AT11,Burgenland,ss13,Financial_intermediation,110.0860532,132.5484625
R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,154.5014861,613.3079167
R1,AT11,Burgenland,ss15,Non-Market_Service,845.3569791,272.2971284
R2,AT12,Niederosterreich,ss1,Agriculture,50.95316749,1057.444318
R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,310.5045016,767.9459343
R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,433.5225507,527.3626932
R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,134.1706069,114.0310957
R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,454.9434783,650.5585336
R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,481.9566828,453.7690848
R2,AT12,Niederosterreich,ss8,Other_manufacturing,1950.87985,1820.340667
R2,AT12,Niederosterreich,ss9,Construction,1175.852223,1373.411192
R2,AT12,Niederosterreich,ss10,Distribution,2761.066065,2001.446006
R2,AT12,Niederosterreich,ss11,Hotels_and_restaurant,668.8178569,587.4527012
R2,AT12,Niederosterreich,ss12,Transport_storage_and_communication,1294.709312,1311.343509
R2,AT12,Niederosterreich,ss13,Financial_intermediation,671.9895444,893.4683213
R2,AT12,Niederosterreich,ss14,Real_estate_renting_and_busine_activitie,969.7425106,4405.540624
R2,AT12,Niederosterreich,ss15,Non-Market_Service,3730.112236,2080.995109
R3,AT13,Wien,ss1,Agriculture,80.52884827,51.4223588
R3,AT13,Wien,ss2,Mining_quarrying_and_energy_supply,444.3556227,915.1239839
R3,AT13,Wien,ss3,Food_beverages_and_tobacco,394.9140456,396.3968425
R3,AT13,Wien,ss4,Textiles_and_leather_etc,128.1052639,89.79217487
R3,AT13,Wien,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,110.3507365,130.1306414
R3,AT13,Wien,ss6,Electrical_and_optical_equipment_and_Transport_equipment,1586.378251,1229.089297
R3,AT13,Wien,ss8,Other_manufacturing,2085.783384,1591.121426
R3,AT13,Wien,ss9,Construction,1979.145471,1448.085958
R3,AT13,Wien,ss10,Distribution,3513.724779,3862.996809
R3,AT13,Wien,ss11,Hotels_and_restaurant,980.825525,1312.454812
R3,AT13,Wien,ss12,Transport_storage_and_communication,1619.66724,2515.516984
R3,AT13,Wien,ss13,Financial_intermediation,2112.765579,1628.890149
R3,AT13,Wien,ss14,Real_estate_renting_and_busine_activitie,3097.955023,8933.559323
R3,AT13,Wien,ss15,Non-Market_Service,9527.864005,3545.230824
R4,AT21,Karnten,ss1,Agriculture,20.31724295,273.4346473
R4,AT21,Karnten,ss2,Mining_quarrying_and_energy_supply,131.9507133,297.9178307
R4,AT21,Karnten,ss3,Food_beverages_and_tobacco,107.4812222,119.9929602
R4,AT21,Karnten,ss4,Textiles_and_leather_etc,35.74995587,27.92124841
R4,AT21,Karnten,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,136.6311205,179.0156763
R4,AT21,Karnten,ss6,Electrical_and_optical_equipment_and_Transport_equipment,306.34076,265.3709376
R4,AT21,Karnten,ss8,Other_manufacturing,671.1278658,577.1454895
R4,AT21,Karnten,ss9,Construction,464.9842356,463.3267454
R4,AT21,Karnten,ss10,Distribution,748.8640298,670.9747218
R4,AT21,Karnten,ss11,Hotels_and_restaurant,309.7183524,333.6194664
R4,AT21,Karnten,ss12,Transport_storage_and_communication,348.3518514,432.8818441
R4,AT21,Karnten,ss13,Financial_intermediation,325.0177774,353.8221167
R4,AT21,Karnten,ss14,Real_estate_renting_and_busine_activitie,400.8283155,1440.631724
R4,AT21,Karnten,ss15,Non-Market_Service,2020.728724,619.8428488
R5,AT22,Steiermark,ss1,Agriculture,37.71635285,681.6022553
R5,AT22,Steiermark,ss2,Mining_quarrying_and_energy_supply,279.4893993,554.0738004
R5,AT22,Steiermark,ss3,Food_beverages_and_tobacco,251.7100397,245.8683971
R5,AT22,Steiermark,ss4,Textiles_and_leather_etc,59.8078103,40.83733479
R5,AT22,Steiermark,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,375.2883706,430.4616744
R5,AT22,Steiermark,ss6,Electrical_and_optical_equipment_and_Transport_equipment,696.3009713,528.0838539
R5,AT22,Steiermark,ss8,Other_manufacturing,1917.180867,1441.113795
R5,AT22,Steiermark,ss9,Construction,955.230199,982.7848578
R5,AT22,Steiermark,ss10,Distribution,1854.449106,1398.011215
R5,AT22,Steiermark,ss11,Hotels_and_restaurant,580.8002015,527.7032557
R5,AT22,Steiermark,ss12,Transport_storage_and_communication,842.1881003,883.045526
R5,AT22,Steiermark,ss13,Financial_intermediation,481.3028274,495.3353268
R5,AT22,Steiermark,ss14,Real_estate_renting_and_busine_activitie,1033.105594,3562.83438
R5,AT22,Steiermark,ss15,Non-Market_Service,4149.084967,1425.720603
R6,AT31,Oberosterreich,ss1,Agriculture,37.00587386,807.5129714
R6,AT31,Oberosterreich,ss2,Mining_quarrying_and_energy_supply,271.8891711,598.6110157
R6,AT31,Oberosterreich,ss3,Food_beverages_and_tobacco,409.3596292,444.7903767
R6,AT31,Oberosterreich,ss4,Textiles_and_leather_etc,159.4601242,121.1774551
R6,AT31,Oberosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,524.8599561,669.3612222
R6,AT31,Oberosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,613.0410738,516.8505575
R6,AT31,Oberosterreich,ss8,Other_manufacturing,2405.315121,2014.821251
R6,AT31,Oberosterreich,ss9,Construction,1417.809701,1283.129627
R6,AT31,Oberosterreich,ss10,Distribution,2485.824942,1828.367054
R6,AT31,Oberosterreich,ss11,Hotels_and_restaurant,566.2377626,500.6977727
R6,AT31,Oberosterreich,ss12,Transport_storage_and_communication,1084.001964,1104.591136
R6,AT31,Oberosterreich,ss13,Financial_intermediation,795.3996868,790.2347685
R6,AT31,Oberosterreich,ss14,Real_estate_renting_and_busine_activitie,1366.04242,4436.020302
R6,AT31,Oberosterreich,ss15,Non-Market_Service,6014.168885,1446.255599
R7,AT32,Salzburg,ss1,Agriculture,27.64424912,210.5897763
R7,AT32,Salzburg,ss2,Mining_quarrying_and_energy_supply,115.1523892,322.5786455
R7,AT32,Salzburg,ss3,Food_beverages_and_tobacco,134.6751688,185.7358288
R7,AT32,Salzburg,ss4,Textiles_and_leather_etc,26.76171695,25.80853998
R7,AT32,Salzburg,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,149.910484,242.8852579
R7,AT32,Salzburg,ss6,Electrical_and_optical_equipment_and_Transport_equipment,225.7106874,240.9539564
R7,AT32,Salzburg,ss8,Other_manufacturing,753.0436148,796.9794707
R7,AT32,Salzburg,ss9,Construction,564.3332757,544.7071027
R7,AT32,Salzburg,ss10,Distribution,981.6564013,1041.469367
R7,AT32,Salzburg,ss11,Hotels_and_restaurant,426.6818759,546.6288667
R7,AT32,Salzburg,ss12,Transport_storage_and_communication,456.4127155,675.3009221
R7,AT32,Salzburg,ss13,Financial_intermediation,362.8257515,416.6271619
R7,AT32,Salzburg,ss14,Real_estate_renting_and_busine_activitie,527.7764057,2058.582471
R7,AT32,Salzburg,ss15,Non-Market_Service,2288.965839,793.9632781
R8,AT33,Tirol,ss1,Agriculture,40.92450219,245.8769716
R8,AT33,Tirol,ss2,Mining_quarrying_and_energy_supply,164.5545125,394.3666674
R8,AT33,Tirol,ss3,Food_beverages_and_tobacco,158.9908156,186.8818744
R8,AT33,Tirol,ss4,Textiles_and_leather_etc,83.0321905,68.185633
R8,AT33,Tirol,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,206.3778219,285.2282921
R8,AT33,Tirol,ss6,Electrical_and_optical_equipment_and_Transport_equipment,250.5099779,227.798164
R8,AT33,Tirol,ss8,Other_manufacturing,1046.557779,942.2317711
R8,AT33,Tirol,ss9,Construction,680.39405,721.5125112
R8,AT33,Tirol,ss10,Distribution,992.4614045,1229.910861
R8,AT33,Tirol,ss11,Hotels_and_restaurant,541.5556494,810.8629071
R8,AT33,Tirol,ss12,Transport_storage_and_communication,513.6604797,890.0790283
R8,AT33,Tirol,ss13,Financial_intermediation,424.1671831,551.1271341
R8,AT33,Tirol,ss14,Real_estate_renting_and_busine_activitie,543.304005,2477.603282
R8,AT33,Tirol,ss15,Non-Market_Service,2465.952332,1088.36442
R9,AT34,Vorarlberg,ss1,Agriculture,11.93147624,96.86385623
R9,AT34,Vorarlberg,ss2,Mining_quarrying_and_energy_supply,92.72657472,228.053972
R9,AT34,Vorarlberg,ss3,Food_beverages_and_tobacco,143.8574179,174.8527389
R9,AT34,Vorarlberg,ss4,Textiles_and_leather_etc,78.16256066,66.54789831
R9,AT34,Vorarlberg,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,142.3931077,203.0564274
R9,AT34,Vorarlberg,ss6,Electrical_and_optical_equipment_and_Transport_equipment,229.3337862,216.2342943
R9,AT34,Vorarlberg,ss8,Other_manufacturing,571.0939636,534.334639
R9,AT34,Vorarlberg,ss9,Construction,311.4428465,387.8708555
R9,AT34,Vorarlberg,ss10,Distribution,543.5367965,589.4080448
R9,AT34,Vorarlberg,ss11,Hotels_and_restaurant,238.9379853,312.3332179
R9,AT34,Vorarlberg,ss12,Transport_storage_and_communication,253.9883,382.8650132
R9,AT34,Vorarlberg,ss13,Financial_intermediation,174.2719675,259.4331482
R9,AT34,Vorarlberg,ss14,Real_estate_renting_and_busine_activitie,262.3563914,1277.716211
R9,AT34,Vorarlberg,ss15,Non-Market_Service,1394.94891,468.7743726
R10,BE10,Region_de_BruxellesCapitale,ss1,Agriculture,9.978410745,3.73050861
R10,BE10,Region_de_BruxellesCapitale,ss2,Mining_quarrying_and_energy_supply,413.9634416,1356.889945
R10,BE10,Region_de_BruxellesCapitale,ss3,Food_beverages_and_tobacco,227.0614902,370.7254011
R10,BE10,Region_de_BruxellesCapitale,ss4,Textiles_and_leather_etc,86.78300064,115.2000223
R10,BE10,Region_de_BruxellesCapitale,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,164.8055356,261.5112757
R10,BE10,Region_de_BruxellesCapitale,ss6,Electrical_and_optical_equipment_and_Transport_equipment,516.8320395,388.7562868
R10,BE10,Region_de_BruxellesCapitale,ss8,Other_manufacturing,948.0301878,1122.358432
R10,BE10,Region_de_BruxellesCapitale,ss9,Construction,788.9212271,643.5778917
R10,BE10,Region_de_BruxellesCapitale,ss10,Distribution,3219.289458,3320.875827
R10,BE10,Region_de_BruxellesCapitale,ss11,Hotels_and_restaurant,545.4830794,584.8606693
R10,BE10,Region_de_BruxellesCapitale,ss12,Transport_storage_and_communication,1871.529184,2198.493919
R10,BE10,Region_de_BruxellesCapitale,ss13,Financial_intermediation,2835.279955,1957.097975
R10,BE10,Region_de_BruxellesCapitale,ss14,Real_estate_renting_and_busine_activitie,4284.778793,7892.425388
R10,BE10,Region_de_BruxellesCapitale,ss15,Non-Market_Service,10485.29767,2779.326526
R11,BE21,Prov_Antwerpen,ss1,Agriculture,92.25722012,426.1041518
R11,BE21,Prov_Antwerpen,ss2,Mining_quarrying_and_energy_supply,277.4648206,631.7640704
R11,BE21,Prov_Antwerpen,ss3,Food_beverages_and_tobacco,659.754349,749.8870652
R11,BE21,Prov_Antwerpen,ss4,Textiles_and_leather_etc,432.9858438,400.4966903
R11,BE21,Prov_Antwerpen,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,1055.833979,1163.346818
R11,BE21,Prov_Antwerpen,ss6,Electrical_and_optical_equipment_and_Transport_equipment,1313.618118,690.5892283
R11,BE21,Prov_Antwerpen,ss8,Other_manufacturing,2092.178372,1727.282004
R11,BE21,Prov_Antwerpen,ss9,Construction,1467.472199,1130.735729
R11,BE21,Prov_Antwerpen,ss10,Distribution,3035.394517,3389.886412
R11,BE21,Prov_Antwerpen,ss11,Hotels_and_restaurant,315.9556286,367.4124466
R11,BE21,Prov_Antwerpen,ss12,Transport_storage_and_communication,1835.033247,2330.69275
R11,BE21,Prov_Antwerpen,ss13,Financial_intermediation,1338.407056,1423.472137
R11,BE21,Prov_Antwerpen,ss14,Real_estate_renting_and_busine_activitie,2864.243624,7796.87334
R11,BE21,Prov_Antwerpen,ss15,Non-Market_Service,6949.494781,2616.091562
R12,BE22,Prov_Limburg_B,ss1,Agriculture,39.20320226,215.7258347
R12,BE22,Prov_Limburg_B,ss2,Mining_quarrying_and_energy_supply,108.2165391,197.2866209
R12,BE22,Prov_Limburg_B,ss3,Food_beverages_and_tobacco,165.9364968,150.9038694
R12,BE22,Prov_Limburg_B,ss4,Textiles_and_leather_etc,52.73239366,38.99967709
R12,BE22,Prov_Limburg_B,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,896.5599957,791.0930056
R12,BE22,Prov_Limburg_B,ss6,Electrical_and_optical_equipment_and_Transport_equipment,209.5483427,87.98125271
R12,BE22,Prov_Limburg_B,ss8,Other_manufacturing,910.0616707,601.9052213
R12,BE22,Prov_Limburg_B,ss9,Construction,528.0566478,447.7452707
R12,BE22,Prov_Limburg_B,ss10,Distribution,929.5182924,1051.064259
R12,BE22,Prov_Limburg_B,ss11,Hotels_and_restaurant,116.9026031,137.869543
R12,BE22,Prov_Limburg_B,ss12,Transport_storage_and_communication,513.8192652,661.8471444
R12,BE22,Prov_Limburg_B,ss13,Financial_intermediation,288.0708337,449.1987072
R12,BE22,Prov_Limburg_B,ss14,Real_estate_renting_and_busine_activitie,655.7926289,2640.159148
R12,BE22,Prov_Limburg_B,ss15,Non-Market_Service,2688.027539,949.1592358
R13,BE23,Prov_OostVlaanderen,ss1,Agriculture,65.92930334,402.1379559
R13,BE23,Prov_OostVlaanderen,ss2,Mining_quarrying_and_energy_supply,298.2896732,654.1273378
R13,BE23,Prov_OostVlaanderen,ss3,Food_beverages_and_tobacco,545.7775567,595.3299947
R13,BE23,Prov_OostVlaanderen,ss4,Textiles_and_leather_etc,147.6575614,130.9417755
R13,BE23,Prov_OostVlaanderen,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,72.19966747,76.54942651
R13,BE23,Prov_OostVlaanderen,ss6,Electrical_and_optical_equipment_and_Transport_equipment,580.0233835,291.0059011
R13,BE23,Prov_OostVlaanderen,ss8,Other_manufacturing,1542.589116,1216.366254
R13,BE23,Prov_OostVlaanderen,ss9,Construction,925.5345813,975.5899381
R13,BE23,Prov_OostVlaanderen,ss10,Distribution,1760.77064,2187.926844
R13,BE23,Prov_OostVlaanderen,ss11,Hotels_and_restaurant,203.2864753,262.33232
R13,BE23,Prov_OostVlaanderen,ss12,Transport_storage_and_communication,971.9157153,1375.506188
R13,BE23,Prov_OostVlaanderen,ss13,Financial_intermediation,632.8525494,998.0935764
R13,BE23,Prov_OostVlaanderen,ss14,Real_estate_renting_and_busine_activitie,1230.717766,5243.063731
R13,BE23,Prov_OostVlaanderen,ss15,Non-Market_Service,5230.353245,1891.472685
R14,BE24,Prov_Vlaams_Brabant,ss1,Agriculture,45.9197944,157.824622
R14,BE24,Prov_Vlaams_Brabant,ss2,Mining_quarrying_and_energy_supply,65.69422742,153.2363585
R14,BE24,Prov_Vlaams_Brabant,ss3,Food_beverages_and_tobacco,368.2554832,427.8467012
R14,BE24,Prov_Vlaams_Brabant,ss4,Textiles_and_leather_etc,47.1887448,44.56951198
R14,BE24,Prov_Vlaams_Brabant,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,772.2269404,870.7851265
R14,BE24,Prov_Vlaams_Brabant,ss6,Electrical_and_optical_equipment_and_Transport_equipment,497.3577842,265.7925962
R14,BE24,Prov_Vlaams_Brabant,ss8,Other_manufacturing,721.6591264,607.1016154
R14,BE24,Prov_Vlaams_Brabant,ss9,Construction,422.1845542,525.360554
R14,BE24,Prov_Vlaams_Brabant,ss10,Distribution,2407.528405,1971.053854
R14,BE24,Prov_Vlaams_Brabant,ss11,Hotels_and_restaurant,216.5910422,184.9929859
R14,BE24,Prov_Vlaams_Brabant,ss12,Transport_storage_and_communication,1244.037222,1162.488264
R14,BE24,Prov_Vlaams_Brabant,ss13,Financial_intermediation,721.4500274,630.4549022
R14,BE24,Prov_Vlaams_Brabant,ss14,Real_estate_renting_and_busine_activitie,2093.551128,4935.368181
R14,BE24,Prov_Vlaams_Brabant,ss15,Non-Market_Service,3889.560249,1478.995685
R15,BE25,Prov_WestVlaanderen,ss1,Agriculture,67.90813268,546.2180413
R15,BE25,Prov_WestVlaanderen,ss2,Mining_quarrying_and_energy_supply,72.97252035,142.6100587
R15,BE25,Prov_WestVlaanderen,ss3,Food_beverages_and_tobacco,409.7498072,399.2732548
R15,BE25,Prov_WestVlaanderen,ss4,Textiles_and_leather_etc,110.2300105,87.37327798
R15,BE25,Prov_WestVlaanderen,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,1295.198224,1222.787162
R15,BE25,Prov_WestVlaanderen,ss6,Electrical_and_optical_equipment_and_Transport_equipment,549.6412264,247.7411368
R15,BE25,Prov_WestVlaanderen,ss8,Other_manufacturing,1260.634179,894.0385153
R15,BE25,Prov_WestVlaanderen,ss9,Construction,721.0762294,825.1894808
R15,BE25,Prov_WestVlaanderen,ss10,Distribution,1383.239451,1798.711058
R15,BE25,Prov_WestVlaanderen,ss11,Hotels_and_restaurant,238.1114997,323.7624114
R15,BE25,Prov_WestVlaanderen,ss12,Transport_storage_and_communication,781.7931726,1158.839519
R15,BE25,Prov_WestVlaanderen,ss13,Financial_intermediation,438.5493936,852.4613683
R15,BE25,Prov_WestVlaanderen,ss14,Real_estate_renting_and_busine_activitie,864.6514886,4267.380611
R15,BE25,Prov_WestVlaanderen,ss15,Non-Market_Service,4014.283592,1562.890464
R16,BE31,Prov_Brabant_Wallon,ss1,Agriculture,14.42171034,68.54335401
R16,BE31,Prov_Brabant_Wallon,ss2,Mining_quarrying_and_energy_supply,32.86769543,106.7767742
R16,BE31,Prov_Brabant_Wallon,ss3,Food_beverages_and_tobacco,25.40989955,40.98688453
R16,BE31,Prov_Brabant_Wallon,ss4,Textiles_and_leather_etc,46.09524203,60.4625116
