,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_regional_alt,sp61_resi_regional_alt_cont
18,R19,BE34,Prov_Luxembourg_B,2000,BE,BE3,2070.823306202,2.1503154323401974,2.2053342898550454,3.113911091853017,4.787842202620993,5.736645664141975,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
19,R20,BE35,Prov_Namur,2000,BE,BE3,3386.331763535,2.2069970976307083,2.384790299020591,3.190652150611096,4.732300608366268,5.551460757622055,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
20,R21,CZ01,Praha,2000,CZ,CZ0,7927.03387236,2.0689541963648246,1.3786935397698776,1.0000000000000053,5.055428583858217,6.04298936103563,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
21,R22,CZ02,Stredni_Cechy,2000,CZ,CZ0,3794.50101116,2.1310050713422393,1.3499083029572418,4.352888339510276,5.532018129381522,6.024050150069169,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
22,R23,CZ03,Jihozapad,2000,CZ,CZ0,3668.52053073,2.1180515549101497,1.3827191781992918,4.328669619875875,5.371606548534307,5.8549510176693875,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
23,R24,CZ04,Severozapad,2000,CZ,CZ0,3173.50233304,2.1162337838220187,1.3904290930742162,4.298164606581358,5.354259047767008,5.896563882522805,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
24,R25,CZ05,Severovychod,2000,CZ,CZ0,4558.19609915,2.142511786675896,1.41227090326936,4.294807337553756,5.422338028310091,5.874175554209949,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
25,R26,CZ06,Jihovychod,2000,CZ,CZ0,5007.51726371,2.1054609517823737,1.3652583138019434,4.272349170386917,5.4108270957565745,5.926999255404958,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
26,R27,CZ07,Stredni_Morava,2000,CZ,CZ0,3354.47520351,2.1254623995773567,1.409121023795556,4.224042979884463,5.3774932936371345,5.824622407358539,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
27,R28,CZ08,Moravskoslezko,2000,CZ,CZ0,3171.09600661,2.09071213513297,1.4158331910536825,4.226513405669559,5.23276056962743,5.656317209989333,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
28,R29,DE11,Stuttgart,2000,DE,DE1,49345.58498233,1.7116510665628024,1.5902575324742168,3.1034542793754,4.074682007398083,4.574319302245078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
29,R30,DE12,Karlsruhe,2000,DE,DE1,32756.43142671,1.6851347469383406,1.5641340781681756,3.078537348046858,4.04427981391311,4.576280077261148,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
30,R31,DE13,Freiburg,2000,DE,DE1,23552.11279831,1.7217791410218313,1.57122500286104,3.1218296831851937,4.1564225759763875,4.723884450006955,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
31,R32,DE14,Tubingen,2000,DE,DE1,20742.0721501,1.752113976606136,1.6170737283604346,3.1265434790857434,4.163914443867174,4.730085871474012,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
32,R33,DE21,Oberbayern,2000,DE,DE2,69894.6415362,1.7198547880413686,1.436542068412945,3.14695948006026,4.245849881523394,4.782072094451873,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
33,R34,DE22,Niederbayern,2000,DE,DE2,12238.76146482,1.7625182993350572,1.609577261835498,3.1545856807332,4.1822091425159105,4.90250727488562,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
34,R35,DE23,Oberpfalz,2000,DE,DE2,11812.08965729,1.7835953114282646,1.6831219127555537,3.1433352822154808,4.155644909967479,4.851871525525956,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
35,R36,DE24,Oberfranken,2000,DE,DE2,10743.47701913,1.817684685958488,1.7897061264881877,3.166346675913548,4.071104362565465,4.624854938338655,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
36,R37,DE25,Mittelfranken,2000,DE,DE2,19820.56724791,1.735163505478494,1.6784010353675354,3.0931301898346106,4.047897893126111,4.599110378650428,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
37,R38,DE26,Unterfranken,2000,DE,DE2,14404.01554242,1.79925360708131,1.7707272080499203,3.1376309737523167,4.076182645034615,4.611078386359249,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
38,R39,DE27,Schwaben,2000,DE,DE2,19570.5454843,1.7610765548914058,1.5895405748260871,3.1839892253041326,4.171423694190811,4.7477852914748935,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
39,R40,DE30,Berlin,2000,DE,DE3,32581.533936929998,1.6252357798981116,1.607233929448562,3.064231868972255,3.9308117940088385,4.533126586688157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
40,R41,DE41,Brandenburg__Nordost,2000,DE,DE4,7872.53139301,1.8445600796709571,2.0162046719069546,3.103232818962688,4.124763732865628,4.68716777991642,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
41,R42,DE42,Brandenburg__Sudwest,2000,DE,DE4,10967.69316432,1.727048704288135,1.7651197130173988,3.060252957275681,4.082934673970923,4.676608849829102,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
42,R43,DE50,Bremen,2000,DE,DE5,10035.181369112,1.6918232758635834,1.559780873919591,3.069983407762308,4.008237948576299,4.597023926159604,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
43,R44,DE60,Hamburg,2000,DE,DE6,38451.73860341,1.640310398739489,1.3761967361885898,3.085812295035042,4.146709688101246,4.706047575403692,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
44,R45,DE71,Darmstadt,2000,DE,DE7,60458.6268467,1.620111178437056,1.4240814921774416,3.067469916770083,4.0207698771367,4.5639848851795275,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
45,R46,DE72,Giessen,2000,DE,DE7,10352.24006279,1.7774968615810067,1.8072471554907872,3.101180363179444,4.0629973488414635,4.617163851898218,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
46,R47,DE73,Kassel,2000,DE,DE7,12745.01695686,1.7752856915621527,1.8207000131778799,3.089668932127795,4.055649686016319,4.541408458551739,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
47,R48,DE80,MecklenburgVorpommern,2000,DE,DE8,12387.106696093,1.790640729676264,1.905150372120451,3.0891698171634876,4.117075476950579,4.625533977982556,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
48,R49,DE91,Braunschweig,2000,DE,DE9,14811.099552061,1.7544494043203978,1.8980425626813775,3.068774226422724,3.967956142815243,4.572823163782316,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
49,R50,DE92,Hannover,2000,DE,DE9,21478.85710699,1.7039702687182194,1.6793614159742931,3.0846877878840306,4.08039570644394,4.612296603463307,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
50,R51,DE93,Luneburg,2000,DE,DE9,15004.067231719,1.8304075677289495,1.7214320692744958,3.2022373093045524,4.278997260857923,4.814449049480931,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
51,R52,DE94,WeserEms,2000,DE,DE9,25246.44623361,1.719359911305718,1.5443541787530475,3.128934698738167,4.260427373959385,4.836393328898897,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
52,R53,DEA1,Dusseldorf,2000,DE,DEA,60820.92649711,1.6613569955285694,1.5469038169079266,3.108409828488465,4.0198152794572755,4.522794457284411,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
53,R54,DEA2,Koln,2000,DE,DEA,51309.42083856,1.6562185709964417,1.5633263569815914,3.090834072075536,3.982033778319113,4.560443654909919,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
54,R55,DEA3,Munster,2000,DE,DEA,21345.8495236,1.701856272663892,1.7351129873896092,3.1005039484759753,3.988521271235085,4.486073685493287,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
55,R56,DEA4,Detmold,2000,DE,DEA,20753.3168887,1.7522162401776633,1.7550315585173613,3.101579814736149,4.032058530077284,4.590748671505788,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
56,R57,DEA5,Arnsberg,2000,DE,DEA,34962.602757630004,1.7219665271653162,1.7140464898981533,3.1092991557277547,4.020203450942809,4.522230099872917,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
57,R58,DEB1,Koblenz,2000,DE,DEB,14853.99076952,1.7778417854189585,1.7517464119836437,3.119642847361676,4.129776621419542,4.636609060191417,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
