Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61
R1,AT11,Burgenland,ss1,Agriculture,12.67986209,169.6999642
R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,64.5784423,127.3185707
R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,63.98542009,62.55162659
R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,15.46996363,10.03548891
R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,60.54126785,73.08389965
R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,138.9888528,87.63433069
R1,AT11,Burgenland,ss8,Other_manufacturing,286.0971977,229.1679764
R1,AT11,Burgenland,ss9,Construction,209.2347084,236.0462452
R1,AT11,Burgenland,ss10,Distribution,327.7842043,338.4574378
R1,AT11,Burgenland,ss11,Hotels_and_restaurant,128.5042389,159.341817
R1,AT11,Burgenland,ss12,Transport_storage_and_communication,139.5192048,170.7180224
R1,AT11,Burgenland,ss13,Financial_intermediation,116.33364,176.0899502
R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,160.2587845,762.5124642
R1,AT11,Burgenland,ss15,Non-Market_Service,1049.053455,291.4921317
R2,AT12,Niederosterreich,ss1,Agriculture,59.88911961,1115.849149
R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,350.9391934,952.5679144
R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,437.9660242,586.8438166
R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,118.4358033,105.2298583
R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,511.7547054,848.8522599
R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,610.3101734,525.3541679
R2,AT12,Niederosterreich,ss8,Other_manufacturing,2276.319967,2488.617497
R2,AT12,Niederosterreich,ss9,Construction,1418.850385,1640.731672
R2,AT12,Niederosterreich,ss10,Distribution,3018.659418,2625.878688
R2,AT12,Niederosterreich,ss11,Hotels_and_restaurant,793.3225914,834.2665461
R2,AT12,Niederosterreich,ss12,Transport_storage_and_communication,1418.941835,1469.80459
R2,AT12,Niederosterreich,ss13,Financial_intermediation,825.5321334,1132.844471
R2,AT12,Niederosterreich,ss14,Real_estate_renting_and_busine_activitie,1296.514175,5834.415464
R2,AT12,Niederosterreich,ss15,Non-Market_Service,4611.11733,2501.869717
R3,AT13,Wien,ss1,Agriculture,79.75008859,57.71469407
R3,AT13,Wien,ss2,Mining_quarrying_and_energy_supply,517.398755,1231.926031
R3,AT13,Wien,ss3,Food_beverages_and_tobacco,398.4054765,464.8759116
R3,AT13,Wien,ss4,Textiles_and_leather_etc,116.6145843,90.15415789
R3,AT13,Wien,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,128.6001162,185.4841451
R3,AT13,Wien,ss6,Electrical_and_optical_equipment_and_Transport_equipment,1970.748388,1470.212685
R3,AT13,Wien,ss8,Other_manufacturing,2318.909449,2201.114413
R3,AT13,Wien,ss9,Construction,2304.528979,1524.701345
R3,AT13,Wien,ss10,Distribution,4013.564955,4658.887622
R3,AT13,Wien,ss11,Hotels_and_restaurant,1214.442537,1705.313056
R3,AT13,Wien,ss12,Transport_storage_and_communication,1737.226178,2406.405351
R3,AT13,Wien,ss13,Financial_intermediation,2681.153642,2057.612906
R3,AT13,Wien,ss14,Real_estate_renting_and_busine_activitie,4124.137307,11130.95222
