,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_d,sp61_resi,sp61_resi_alt,sp61_resi_regional,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,key,tl_diff
15,R16,BE31,Prov_Brabant_Wallon,2000,BE,BE3,8.241558605749729,2.2308358801278154,2.3493238591738925,3.166238317816216,4.708610281603149,5.416753472959641,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,BE312000,2.2505151551434253
16,R17,BE32,Prov_Hainaut,2000,BE,BE3,9.122840109679785,2.103521326963972,2.182808056903367,3.1974551506643185,4.749570928618072,5.60628825497448,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,BE322000,2.4088331043101614
17,R18,BE33,Prov_Liege,2000,BE,BE3,9.022238630099693,2.1277071809904764,2.1184926451059685,3.17238772081555,4.724692560358512,5.559165990950896,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,BE332000,2.3867782701353457
18,R19,BE34,Prov_Luxembourg_B,2000,BE,BE3,7.635701539649559,2.1503154323401974,2.2053342898550454,3.113911091853017,4.787842202620993,5.736645664141975,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,BE342000,2.6227345722889583
19,R20,BE35,Prov_Namur,2000,BE,BE3,8.127502538854571,2.2069970976307083,2.384790299020591,3.190652150611096,4.732300608366268,5.551460757622055,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,BE352000,2.3608086070109593
20,R21,CZ01,Praha,2000,CZ,CZ0,8.978034205864484,2.0689541963648246,1.3786935397698776,1.0000000000000053,5.055428583858217,6.04298936103563,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ012000,5.042989361035625
21,R22,CZ02,Stredni_Cechy,2000,CZ,CZ0,8.241308195324365,2.1310050713422393,1.3499083029572418,4.352888339510276,5.532018129381522,6.024050150069169,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ022000,1.6711618105588935
22,R23,CZ03,Jihozapad,2000,CZ,CZ0,8.207543734630143,2.1180515549101497,1.3827191781992918,4.328669619875875,5.371606548534307,5.8549510176693875,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ032000,1.5262813977935128
23,R24,CZ04,Severozapad,2000,CZ,CZ0,8.062591093909324,2.1162337838220187,1.3904290930742162,4.298164606581358,5.354259047767008,5.896563882522805,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ042000,1.5983992759414463
24,R25,CZ05,Severovychod,2000,CZ,CZ0,8.424682231949493,2.142511786675896,1.41227090326936,4.294807337553756,5.422338028310091,5.874175554209949,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ052000,1.579368216656193
25,R26,CZ06,Jihovychod,2000,CZ,CZ0,8.518695515104675,2.1054609517823737,1.3652583138019434,4.272349170386917,5.4108270957565745,5.926999255404958,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ062000,1.6546500850180408
26,R27,CZ07,Stredni_Morava,2000,CZ,CZ0,8.11805061496787,2.1254623995773567,1.409121023795556,4.224042979884463,5.3774932936371345,5.824622407358539,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ072000,1.6005794274740754
27,R28,CZ08,Moravskoslezko,2000,CZ,CZ0,8.06183255052594,2.09071213513297,1.4158331910536825,4.226513405669559,5.23276056962743,5.656317209989333,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,CZ082000,1.429803804319774
28,R29,DE11,Stuttgart,2000,DE,DE1,10.806603577482235,1.7116510665628024,1.5902575324742168,3.1034542793754,4.074682007398083,4.574319302245078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE112000,1.470865022869678
29,R30,DE12,Karlsruhe,2000,DE,DE1,10.396854601225007,1.6851347469383406,1.5641340781681756,3.078537348046858,4.04427981391311,4.576280077261148,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE122000,1.4977427292142904
30,R31,DE13,Freiburg,2000,DE,DE1,10.066970810847552,1.7217791410218313,1.57122500286104,3.1218296831851937,4.1564225759763875,4.723884450006955,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE132000,1.6020547668217615
31,R32,DE14,Tubingen,2000,DE,DE1,9.939919387597973,1.752113976606136,1.6170737283604346,3.1265434790857434,4.163914443867174,4.730085871474012,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE142000,1.6035423923882686
32,R33,DE21,Oberbayern,2000,DE,DE2,11.154744266287743,1.7198547880413686,1.436542068412945,3.14695948006026,4.245849881523394,4.782072094451873,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE212000,1.6351126143916135
33,R34,DE22,Niederbayern,2000,DE,DE2,9.41236336343181,1.7625182993350572,1.609577261835498,3.1545856807332,4.1822091425159105,4.90250727488562,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE222000,1.74792159415242
34,R35,DE23,Oberpfalz,2000,DE,DE2,9.376878833191423,1.7835953114282646,1.6831219127555537,3.1433352822154808,4.155644909967479,4.851871525525956,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE232000,1.7085362433104754
35,R36,DE24,Oberfranken,2000,DE,DE2,9.282054060466768,1.817684685958488,1.7897061264881877,3.166346675913548,4.071104362565465,4.624854938338655,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE242000,1.4585082624251067
36,R37,DE25,Mittelfranken,2000,DE,DE2,9.894475427449713,1.735163505478494,1.6784010353675354,3.0931301898346106,4.047897893126111,4.599110378650428,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE252000,1.5059801888158173
37,R38,DE26,Unterfranken,2000,DE,DE2,9.575262303803173,1.79925360708131,1.7707272080499203,3.1376309737523167,4.076182645034615,4.611078386359249,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE262000,1.473447412606932
38,R39,DE27,Schwaben,2000,DE,DE2,9.88178093349681,1.7610765548914058,1.5895405748260871,3.1839892253041326,4.171423694190811,4.7477852914748935,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE272000,1.5637960661707608
39,R40,DE30,Berlin,2000,DE,DE3,10.39150096321253,1.6252357798981116,1.607233929448562,3.064231868972255,3.9308117940088385,4.533126586688157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE302000,1.468894717715902
40,R41,DE41,Brandenburg__Nordost,2000,DE,DE4,8.971134940647127,1.8445600796709571,2.0162046719069546,3.103232818962688,4.124763732865628,4.68716777991642,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE412000,1.5839349609537319
41,R42,DE42,Brandenburg__Sudwest,2000,DE,DE4,9.302709245314723,1.727048704288135,1.7651197130173988,3.060252957275681,4.082934673970923,4.676608849829102,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE422000,1.616355892553421
42,R43,DE50,Bremen,2000,DE,DE5,9.213852334720524,1.6918232758635834,1.559780873919591,3.069983407762308,4.008237948576299,4.597023926159604,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE502000,1.5270405183972962
43,R44,DE60,Hamburg,2000,DE,DE6,10.557159191165358,1.640310398739489,1.3761967361885898,3.085812295035042,4.146709688101246,4.706047575403692,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE602000,1.6202352803686497
44,R45,DE71,Darmstadt,2000,DE,DE7,11.00971455631073,1.620111178437056,1.4240814921774416,3.067469916770083,4.0207698771367,4.5639848851795275,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE712000,1.4965149684094445
45,R46,DE72,Giessen,2000,DE,DE7,9.244958206463105,1.7774968615810067,1.8072471554907872,3.101180363179444,4.0629973488414635,4.617163851898218,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE722000,1.5159834887187742
46,R47,DE73,Kassel,2000,DE,DE7,9.452895647280888,1.7752856915621527,1.8207000131778799,3.089668932127795,4.055649686016319,4.541408458551739,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE732000,1.4517395264239443
47,R48,DE80,MecklenburgVorpommern,2000,DE,DE8,9.424411428071071,1.790640729676264,1.905150372120451,3.0891698171634876,4.117075476950579,4.625533977982556,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE802000,1.5363641608190686
48,R49,DE91,Braunschweig,2000,DE,DE9,9.603132148399286,1.7544494043203978,1.8980425626813775,3.068774226422724,3.967956142815243,4.572823163782316,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE912000,1.5040489373595922
49,R50,DE92,Hannover,2000,DE,DE9,9.974824339897651,1.7039702687182194,1.6793614159742931,3.0846877878840306,4.08039570644394,4.612296603463307,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE922000,1.527608815579276
50,R51,DE93,Luneburg,2000,DE,DE9,9.616076592111426,1.8304075677289495,1.7214320692744958,3.2022373093045524,4.278997260857923,4.814449049480931,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE932000,1.6122117401763787
51,R52,DE94,WeserEms,2000,DE,DE9,10.136440681574882,1.719359911305718,1.5443541787530475,3.128934698738167,4.260427373959385,4.836393328898897,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DE942000,1.7074586301607297
52,R53,DEA1,Dusseldorf,2000,DE,DEA,11.015689194543642,1.6613569955285694,1.5469038169079266,3.108409828488465,4.0198152794572755,4.522794457284411,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEA12000,1.4143846287959465
53,R54,DEA2,Koln,2000,DE,DEA,10.845629656375912,1.6562185709964417,1.5633263569815914,3.090834072075536,3.982033778319113,4.560443654909919,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEA22000,1.4696095828343836
54,R55,DEA3,Munster,2000,DE,DEA,9.968612598053392,1.701856272663892,1.7351129873896092,3.1005039484759753,3.988521271235085,4.486073685493287,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEA32000,1.385569737017312
55,R56,DEA4,Detmold,2000,DE,DEA,9.940461362942017,1.7522162401776633,1.7550315585173613,3.101579814736149,4.032058530077284,4.590748671505788,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEA42000,1.4891688567696395
56,R57,DEA5,Arnsberg,2000,DE,DEA,10.462034276587197,1.7219665271653162,1.7140464898981533,3.1092991557277547,4.020203450942809,4.522230099872917,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEA52000,1.4129309441451618
57,R58,DEB1,Koblenz,2000,DE,DEB,9.606023846815289,1.7778417854189585,1.7517464119836437,3.119642847361676,4.129776621419542,4.636609060191417,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEB12000,1.516966212829741
58,R59,DEB2,Trier,2000,DE,DEB,8.471234893162364,1.77667195116392,1.718094045564575,3.0903226567314097,4.0647373084388265,4.635500166538417,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEB22000,1.5451775098070075
59,R60,DEB3,RheinhessenPfalz,2000,DE,DEB,9.967197375921204,1.7107771861351504,1.6620451230150735,3.087394547653744,4.031458073404305,4.645186154104514,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEB32000,1.55779160645077
60,R61,DEC0,Saarland,2000,DE,DEC,9.136912554476003,1.6886419847663872,1.7140414115897056,3.049832219073777,3.8328812847837375,4.339279908940078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEC02000,1.289447689866301
61,R62,DED1,Chemnitz,2000,DE,DED,9.277516416860477,1.752426313625416,1.933316593930135,3.043438216205518,3.9067030150505246,4.526579783206421,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DED12000,1.4831415670009034
62,R63,DED2,Dresden,2000,DE,DED,9.290765418511977,1.689562095952052,1.82510513498761,3.031526540691127,3.8731096084598087,4.359326116425543,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DED22000,1.3277995757344163
63,R64,DED3,Leipzig,2000,DE,DED,8.820331610808143,1.7021950046818517,1.9395627826424136,2.9930732674928837,3.830810001453121,4.488441504011052,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DED32000,1.4953682365181686
64,R65,DEE1,Dessau,2000,DE,DEE,8.032911162093503,1.782594486931394,1.9788879984322871,2.9545735696727893,4.009284166283799,4.563961964187754,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEE12000,1.6093883945149643
65,R66,DEE2,Halle,2000,DE,DEE,8.948960388932461,1.7715381149169005,1.9513211678830602,3.0275322569575076,4.0468034633293986,4.635947834148462,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEE22000,1.6084155771909545
66,R67,DEE3,Magdeburg,2000,DE,DEE,8.945281533436344,1.8084324022234028,2.0125634216639896,3.0548567017055612,4.104130879408716,4.658404021888181,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEE32000,1.6035473201826198
67,R68,DEF0,SchleswigHolstein,2000,DE,DEF,10.27827429085009,1.7449667249487617,1.5727396815815966,3.15293142233033,4.252754500899461,4.750448687129405,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEF02000,1.5975172647990754
68,R69,DEG0,Thuringen,2000,DE,DEG,9.663886885510614,1.8274900378837464,1.9857224452289879,3.0897653167432564,4.062377843328283,4.581416044359129,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DEG02000,1.4916507276158724
69,R70,DK01,Hovedstadsreg,2000,DK,DK0,10.141156323642397,1.7173464025521143,1.7878080108230467,3.004010140499591,4.2455604148119646,4.95979340149747,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,DK012000,1.9557832609978791
