,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_d,sp61_resi,sp61_resi_alt,sp61_resi_regional,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,key,tl_diff
676,R145,ITC4,Lombardia,2002,IT,ITC,11.913236167222774,1.9731376735507378,1.5389678396675366,3.1790497929729504,4.770598353458735,5.435993373016205,1.0976509393766802,0.047732871261969345,0.9053702347991599,-0.09855816508040571,0.9785063161298873,-0.029384675339122257,0.9678074341414487,-0.04027151354034486,0.9913741927547294,-0.017769295165252053,1.0040317460677355,-0.008143573677482197,1.0976509393766802,0.09765093937668023,0.047732871261969345,1.0,1.0,1.0,1.0,0.12166445895870076,ITC42002,2.256943580043255
677,R146,ITD1,Provincia_Autonoma_BolzanoBozen,2002,IT,ITD,8.87833803521517,2.1002017105885784,4.158466358276471,2.07559801518725,4.063331461997121,5.60679525463398,1.027330687076711,-0.0076985890075296215,0.6134657391325056,-0.38207859999850435,0.8217328005964455,-0.17954737071175542,1.008761150171731,0.004046178320001204,0.7376439479417864,-0.26213165242941683,0.7819733574298671,-0.23292756308254337,1.027330687076711,0.027330687076710936,-0.0076985890075296215,-1.0,-1.0,-1.0,0.0,-0.6860669182646965,ITD12002,3.5311972394467297
678,R147,ITD2,Provincia_Autonoma_Trento,2002,IT,ITD,8.889112852055401,2.44710540661853,4.599794614380239,2.1325217218088564,4.424236263226315,5.50090390975218,1.0853665836405537,0.029022097550583048,0.6241837863966154,-0.35272227098921316,0.8833045640375106,-0.11758321132502947,0.98153189862923,-0.023670225646852283,0.8353595171031368,-0.1536851830635223,0.8616119516686062,-0.14066679559686845,1.0853665836405537,0.08536658364055372,0.029022097550583048,-1.0,-1.0,-1.0,0.0,-0.019439408739566073,ITD22002,3.368382187943324
679,R148,ITD3,Veneto,2002,IT,ITD,11.105219097845922,2.207296673673224,2.1896380279787477,2.6078907428903633,4.745744599762635,5.3732906905934295,1.0674151908122538,0.029233306773064127,0.7898701882192867,-0.22038069499278534,0.9386155701248597,-0.06434928837922493,0.9375029710311483,-0.06649339308176672,0.9096862692192594,-0.09017522125793098,0.910238252863079,-0.08684813839841166,1.0674151908122538,0.06741519081225378,0.029233306773064127,-1.0,-1.0,-1.0,0.0,-0.22563752063523765,ITD32002,2.765399947703066
680,R149,ITD4,FriuliVenezia_Giulia,2002,IT,ITD,9.689191351799337,2.4121717761737873,3.680054053838882,2.1871513452839504,4.430560862492288,5.44039919863695,1.095815727441712,0.03973251163072322,0.6553015029108012,-0.3236736690246039,0.8803908705302568,-0.11719201383661526,0.971986357075194,-0.03501848650030637,0.8526339168917495,-0.14095669304460312,0.8786680702274772,-0.12037833393569985,1.095815727441712,0.09581572744171196,0.03973251163072322,1.0,1.0,-1.0,1.0,0.10058435450450519,ITD42002,3.2532478533529994
681,R150,ITD5,EmiliaRomagna,2002,IT,ITD,11.043808609427645,2.2145310767087802,2.2646844969774733,2.482062781462237,4.672863779550832,5.334852735396377,1.0670258013815213,0.02393339741153344,0.7605822084056308,-0.24818873986893686,0.9241899842809793,-0.07911498198657951,0.9412212334979446,-0.06270798825953805,0.9055192680873918,-0.09518257133284003,0.9166765623504329,-0.08400671689432082,1.0670258013815213,0.06702580138152125,0.02393339741153344,-1.0,-1.0,-1.0,0.0,-0.23011023014458554,ITD52002,2.85278995393414
682,R151,ITE1,Toscana,2002,IT,ITE,10.774134251948361,2.1844572272109435,2.2105212558254386,2.5749187544366032,4.7200378179763245,5.391886956199479,1.101131342211043,0.039033744068420306,0.7745025837367654,-0.2315939495907604,0.9280418396426419,-0.0814735521993949,0.9405704092778501,-0.0710988547702126,0.8942992473602771,-0.10834970596879923,0.8935191436761277,-0.09365025340442767,1.101131342211043,0.10113134221104292,0.039033744068420306,1.0,1.0,-1.0,1.0,0.1616419971890807,ITE12002,2.816968201762876
683,R152,ITE2,Umbria,2002,IT,ITE,9.213046914072482,2.4202428234941733,4.159003882686819,2.111687181019517,4.380457233033963,5.434223016350961,1.0941715359016775,0.023856382395981424,0.6305840966261538,-0.3609854351602886,0.8787175175415822,-0.12522392638797553,0.967479500286327,-0.043585891590979475,0.8233135503407555,-0.17530940370626857,0.824541246094792,-0.16799571801921842,1.0941715359016775,0.09417153590167748,0.023856382395981424,-1.0,1.0,-1.0,1.0,0.08169839983833162,ITE22002,3.322535835331444
684,R153,ITE3,Marche,2002,IT,ITE,9.82857481459758,2.372083770952,3.2261292040753125,2.359638729815053,4.46151879567429,5.400242739407452,1.147249362820041,0.06313642646806272,0.7007783155179297,-0.3034204154383884,0.8865441564892165,-0.12564910468325796,0.9610126065373883,-0.047787802260997436,0.84341551061171,-0.1626185976901533,0.8339940848286266,-0.14343015643246315,1.147249362820041,0.14724936282004109,0.06313642646806272,1.0,1.0,1.0,1.0,0.6913751975538833,ITE32002,3.040604009592399
685,R154,ITE4,Lazio,2002,IT,ITE,11.197607264653104,2.1608590673650157,2.3840628056038535,2.7889042988655577,4.692485495547787,5.311562249762198,1.1263689155316576,0.05328813908998575,0.8298337103051806,-0.1887047940877732,0.938069238623447,-0.07085683478634963,0.9295267822791141,-0.08387585646922158,0.9029647192951646,-0.1003206592028063,0.8971686323034859,-0.09143455079824847,1.1263689155316576,0.12636891553165763,0.05328813908998575,1.0,1.0,1.0,1.0,0.4515325932733824,ITE42002,2.5226579508966402
686,R155,ITF1,Abruzzo,2002,IT,ITF,9.503868741408922,2.17481803285568,3.392164604977142,2.1283767072672486,4.127955832801857,5.062370058273081,1.0692252150352517,0.012474491676763177,0.6234730780703133,-0.4019932227371874,0.8347866875116087,-0.17639387566551756,0.908409899717481,-0.09679649185144057,0.7707041279246608,-0.24550815843256302,0.7813221657914678,-0.2206193456980473,1.0692252150352517,0.0692252150352517,0.012474491676763177,-1.0,-1.0,-1.0,0.0,-0.20484673404628712,ITF12002,2.9339933510058325
687,R156,ITF2,Molise,2002,IT,ITF,8.062981659351925,2.168340347083052,5.361897506430681,2.0000000000000053,3.9384646318741283,5.310927170174615,1.0782058268755006,0.03210398691343652,0.5467474766410596,-0.4449916754729063,0.8028169136782112,-0.1979664286237789,0.9751697011848774,-0.02394957643682194,0.6967015280188684,-0.3065968301250328,0.7266508744554085,-0.3035694705918921,1.0782058268755006,0.0782058268755006,0.03210398691343652,-1.0,-1.0,-1.0,0.0,-0.1016912172104046,ITF22002,3.31092717017461
688,R157,ITF3,Campania,2002,IT,ITF,10.687707914516082,1.881493517013413,2.00973275220365,2.173245710695995,4.348513729714253,4.916697706404409,1.1214237181300293,0.05430653426183918,0.6953264231391523,-0.293616739030911,0.8859367503584524,-0.11880986327107246,0.8858477362640611,-0.12462339472476858,0.8221466693549802,-0.1770896030515957,0.8201982650588816,-0.174403754734348,1.1214237181300293,0.12142371813002928,0.05430653426183918,1.0,1.0,1.0,1.0,0.3947297380899322,ITF32002,2.743451995708414
689,R158,ITF4,Puglia,2002,IT,ITF,10.36023560442361,1.9102385937645265,2.26813371810278,2.109726198431561,4.285980699618139,4.915056757957681,1.050644643575135,0.01600309170057934,0.678159160684386,-0.3293480743233079,0.8696679257759973,-0.12964399863300646,0.8844012408371209,-0.12171137429097922,0.8043038097441737,-0.20626764618938886,0.8378798141548912,-0.1899009943131177,1.050644643575135,0.050644643575135095,0.01600309170057934,-1.0,-1.0,-1.0,0.0,-0.41827188660485215,ITF42002,2.80533055952612
690,R159,ITF5,Basilicata,2002,IT,ITF,8.528193757600944,2.103188883351051,4.824133786521211,2.0,3.9528676788963133,4.91573895364241,1.0620520704105125,0.01057341088534769,0.5754275854697245,-0.43345866375403463,0.8090959481094475,-0.1862499656908062,0.8950610204136719,-0.1083852408364393,0.7144374802813221,-0.29662967314302147,0.7429086959175618,-0.2769019138053149,1.0620520704105125,0.06205207041051253,0.01057341088534769,-1.0,-1.0,-1.0,0.0,-0.2872408352797053,ITF52002,2.9157389536424096
691,R160,ITF6,Calabria,2002,IT,ITF,9.676365778621104,1.8273511285533348,1.4968917005901736,2.5573548608777195,4.664354965850931,5.546257617175758,1.081580477557856,0.012915763842974215,0.739534506252616,-0.2871092940724189,0.9641054080748113,-0.05179518455067389,0.9750504398525279,-0.03247597496197585,0.9262235129486884,-0.07521520268934445,0.9138952460470092,-0.07562722819638534,1.081580477557856,0.08158047755785591,0.012915763842974215,-1.0,-1.0,-1.0,0.0,-0.06292839776432124,ITF62002,2.988902756298039
692,R161,ITG1,Sicilia,2002,IT,ITG,10.561585625019857,1.8052106466167268,1.5154734906875336,2.2529653790128648,4.548157282292984,5.285076674262722,1.0665659033817572,0.018068809524031337,0.6945020994653348,-0.32716807736363274,0.9449689096992883,-0.09047567049198746,0.9347944865910068,-0.07662016854479814,0.9139873655237252,-0.10408214503966562,0.8847385122496837,-0.11187861408750344,1.0665659033817572,0.06656590338175716,0.018068809524031337,-1.0,-1.0,-1.0,0.0,-0.23539283412540057,ITG12002,3.0321112952498575
693,R162,ITG2,Sardegna,2002,IT,ITG,9.611668169372143,1.8889782169192746,1.509306843174957,2.502491728699259,4.6726380507899075,5.660103100712064,1.0896190480115688,0.02381653792164995,0.8379009348850319,-0.2333907039154688,0.9879219229221847,-0.02229749857829466,1.0275583159133697,0.00934063454293188,0.9594804154920795,-0.03520439648373819,0.9416473665194566,-0.0489221823886824,1.0896190480115688,0.08961904801156884,0.02381653792164995,-1.0,-1.0,-1.0,1.0,0.0294063901682824,ITG22002,3.1576113720128047
694,R163,LT00,Lietuva,2002,LT,LT0,9.025187263653269,1.8582369379297317,1.5785375167962805,2.567441433089416,4.228607017653962,5.315945307572869,1.2205282938838764,0.10334998032987941,0.752287585866445,-0.23314359014435104,0.9799998414848232,-0.042836962287727154,1.0280901247050327,0.013008106184040136,1.036287560221633,0.010510045795456113,1.0281382284792544,0.017776668181279875,1.2205282938838764,0.2205282938838764,0.10334998032987941,0.0,0.0,1.0,1.0,1.5330913458003526,LT002002,2.7485038744834527
695,R164,LU00,Luxembourg_GrandD,2002,LU,LU0,9.293472192648862,2.2827728529488356,2.061583222626301,2.6142474279175065,4.4362617584224315,5.931184371494007,1.0294802577833826,0.05369628118970737,0.8204592528264583,-0.1549184616301703,1.0214422689838418,0.026151237267468375,1.1728285103621268,0.1784272540828603,1.2544390421865885,0.26640807374346287,1.333088667692862,0.33372717220685455,1.0294802577833826,0.02948025778338259,0.05369628118970737,0.0,0.0,1.0,0.0,-0.661375941617849,LU002002,3.3169369435765006
696,R165,LV00,Latvija,2002,LV,LV0,8.531962334970903,1.8180441266564467,1.3649107052245055,2.570415108820912,4.387066432394749,5.39464731872882,1.2424889638983592,0.1047608806266842,0.7276367058470639,-0.29913279578266483,0.9770685432528017,-0.05847264896031357,1.0516747043804595,0.03422178155538469,1.036159716674411,0.0012577055334672682,1.0188856087202918,0.0012988520138748072,1.2424889638983592,0.24248896389835917,0.1047608806266842,0.0,0.0,1.0,1.0,1.785341894616351,LV002002,2.8242322099079082
697,R166,MT00,Malta,2002,MT,MT0,7.697365806584324,1.8811390948319802,1.7901024154721143,2.3937453272562985,4.257952315417144,5.340698618377658,1.0312093287624888,0.06485052104727951,0.7780403923724163,-0.1651590077443491,0.9294265525593177,-0.032819162714561756,0.9069349036622804,-0.02466017674136911,0.8950376289106331,-0.0067608891970197815,0.8835659902870554,0.004383578578068925,1.0312093287624888,0.03120932876248883,0.06485052104727951,0.0,0.0,1.0,0.0,-0.6415150219312582,MT002002,2.9469532911213596
698,R167,NL11,Groningen,2002,NL,NL1,9.215786991641982,1.8987320817693911,1.740721252913469,2.973098184467156,4.648426888255437,6.135459298648527,1.1395073893761047,0.019954322383998857,0.8948897995275119,-0.10875265599413109,1.0201390553149523,0.016686313491354188,1.0509293828180115,0.058709718794387356,1.0379219954860706,0.05249873624784407,1.0332005075895125,0.06942264669341436,1.1395073893761047,0.13950738937610474,0.019954322383998857,-1.0,1.0,-1.0,1.0,0.602447261891451,NL112002,3.1623611141813712
699,R168,NL12,Friesland,2002,NL,NL1,8.836299512424244,1.8947912195445789,2.0025243799449908,2.0000000000000036,4.082830723846121,5.640621955391074,1.0679644485351092,-0.005664352870269562,0.6024033408135834,-0.40292912771293876,0.9250787189302627,-0.07013074994323054,0.9990032759016994,0.0074472737690430835,0.9753407718891008,-0.017003776401680604,0.9853403050883232,0.0017357111448709217,1.0679644485351092,0.06796444853510919,-0.005664352870269562,-1.0,-1.0,-1.0,0.0,-0.21932848899183466,NL122002,3.6406219553910706
700,R169,NL13,Drenthe,2002,NL,NL1,8.53831226222911,1.888458765349536,2.0113804836759033,2.0000000000000098,4.046715519473837,5.6497458604838835,1.065875608327423,-0.0023756367126601674,0.5972502762589588,-0.4045777976442254,0.9157150924430791,-0.08142354182672074,0.9910640180482194,0.002506180300067329,0.965490152695211,-0.027557463818135286,0.9807961132124158,0.002003367653423349,1.065875608327423,0.06587560832742301,-0.0023756367126601674,-1.0,-1.0,-1.0,0.0,-0.24332188666277424,NL132002,3.6497458604838737
701,R170,NL21,Overijssel,2002,NL,NL2,9.384137134499255,1.8799308269584403,2.0036334741897837,2.6526918862657958,4.1672573029770295,5.272040533697908,1.068844013979524,0.014798435124602882,0.7923841415018998,-0.2072437104852196,0.9480117959582355,-0.04506492070159851,0.9694130810615544,-0.017099864664514186,0.9401534919646242,-0.0468567987331181,0.9558044498671531,-0.02825149166650731,1.068844013979524,0.06884401397952411,0.014798435124602882,-1.0,-1.0,-1.0,0.0,-0.20922538804241322,NL212002,2.619348647432112
702,R171,NL22,Gelderland,2002,NL,NL2,9.908453135452497,1.8009626902434968,1.9518744278969333,2.0000000000000013,3.9409365189018324,5.184521309768287,1.0796055729387655,0.02165382894992618,0.5984301241630172,-0.4027380330425494,0.9153696538343373,-0.07929055369104354,0.979465324984639,-0.010050141408713631,0.9384793793854442,-0.04652677495392188,0.949132754523923,-0.028951869544400988,1.0796055729387655,0.07960557293876547,0.02165382894992618,-1.0,-1.0,-1.0,0.0,-0.08561307786270977,NL222002,3.1845213097682854
703,R172,NL23,Flevoland,2002,NL,NL2,8.116150723633671,2.0537785845699195,2.694726889990525,2.740334154160788,4.058834197575778,5.389448176387569,1.1768634071448947,0.07992743804449409,0.8076707501196198,-0.15908561975982705,0.9556861343094718,-0.030939445179788194,1.0106936257535863,0.03556458513891114,0.9163618311500604,-0.06408335052693659,0.9088856817530411,-0.06979131510686842,1.1768634071448947,0.17686340714489468,0.07992743804449409,1.0,1.0,1.0,1.0,1.0315359908575097,NL232002,2.6491140222267813
704,R173,NL31,Utrecht,2002,NL,NL3,9.776150625439254,1.8368671163249932,1.9593495644265855,2.9074134967636933,4.155595479955975,5.251568319378309,1.0957879866364078,0.007850395655888187,0.8752852625620509,-0.1270987012278355,0.9443948013293844,-0.04860364451338417,0.9602977574538526,-0.028656245433591687,0.9869519867625074,0.0006026201733615455,1.00683884320946,0.027040488754853764,1.0957879866364078,0.09578798663640775,0.007850395655888187,-1.0,-1.0,-1.0,1.0,0.10026571061258523,NL312002,2.344154822614616
705,R174,NL32,NoordHolland,2002,NL,NL3,10.54592373535855,1.8259613686046157,1.7840168385309578,2.8731377465172,4.283832245424289,5.272806223266052,1.1497399768258119,0.11632693367525926,0.8590094469922831,-0.14200678442446701,0.9713698888609775,-0.02183576957398292,0.968704344066472,-0.01586916657482562,0.9965616058542918,0.005087262858501473,0.9960721948485652,-0.0028078535548322625,1.1497399768258119,0.14973997682581186,0.11632693367525926,1.0,1.0,1.0,1.0,0.7199835573821655,NL322002,2.399668476748852
706,R175,NL33,ZuidHolland,2002,NL,NL3,10.734136933578814,1.8178403754107786,1.7226463019007465,2.740659225669848,4.320869687626998,5.413917885279986,1.0952916014411365,0.02642732436942863,0.8121648387292222,-0.19066540641591523,0.962224572726862,-0.03494227836502828,0.971821278714981,-0.021299553411050387,0.9641105585910563,-0.02784769734852599,0.9747520871012544,-0.014416517870300183,1.0952916014411365,0.09529160144113646,0.02642732436942863,-1.0,-1.0,-1.0,1.0,0.09456399760252032,NL332002,2.6732586596101378
707,R176,NL34,Zeeland,2002,NL,NL3,8.523009922043997,1.9480067047337781,1.9072838876981013,2.7067444970369987,4.347753788496813,5.609857350844668,1.149224835974087,0.10813788605622432,0.7844957982537343,-0.2070431748685191,0.9805105507576101,-0.01111905350771003,0.9911352132661805,0.007024169324416851,0.9715080064127561,-0.016502818026156496,0.965325872924739,-0.0163936789231256,1.149224835974087,0.1492248359740871,0.10813788605622432,1.0,1.0,1.0,1.0,0.7140664081112453,NL342002,2.903112853807669
708,R177,NL41,NoordBrabant,2002,NL,NL4,10.32983193173645,1.842063059208963,1.7955442144214169,2.826507449850512,4.238677463149026,5.250926150616694,1.0436762414134626,0.003310327373362565,0.8373345877598838,-0.16417261792463334,0.9564890439562752,-0.03528482512116782,0.9490961901096178,-0.0342056088973387,0.9663588661798688,-0.02236496173232916,0.987861053018161,0.0019317191942125334,1.0436762414134626,0.0436762414134626,0.003310327373362565,-1.0,-1.0,-1.0,0.0,-0.49831421994410097,NL412002,2.424418700766182
709,R178,NL42,Limburg_NL,2002,NL,NL4,9.524517533330961,1.8086152456515665,1.8135547562260663,2.7606793410472306,4.100622589521595,5.219245024550801,1.0970071858173138,0.050926792768705376,0.8277323919835414,-0.17440105527109961,0.9371090462982369,-0.054479953401116665,0.9507519809709807,-0.03490011958574912,0.956492435919918,-0.0303547358619759,0.9525212590578735,-0.025643695811772615,1.0970071858173138,0.09700718581731382,0.050926792768705376,1.0,1.0,1.0,1.0,0.11427000384666011,NL422002,2.4585656835035707
710,R186,PL11,Lodzkie,2002,PL,PL1,8.858381556602767,1.888903783353865,1.4412609539817445,2.806792762669873,4.539715969813338,5.620076399359227,1.1487567284704359,0.007132752904957851,0.8154411984269201,-0.16901928382148323,0.9426472366829004,-0.05587187554477102,0.9574644212748161,-0.023021448657775667,0.9429529886365805,-0.04541798414536058,0.9295287309101202,-0.049200747683824875,1.1487567284704359,0.14875672847043586,0.007132752904957851,1.0,1.0,-1.0,1.0,0.7086895059209644,PL112002,2.8132836366893534
711,R187,PL12,Mazowieckie,2002,PL,PL1,10.020021818884578,1.8762840458152445,1.3857223767069828,3.0071233299455273,4.64697706114553,5.799234627421908,1.147193165877863,-0.01244009840651561,0.872337640082997,-0.10846216038763212,0.9718684649351171,-0.023767933508874295,0.9784523749533048,0.0025678050019355414,0.9908295606172098,0.013229643292173354,0.9785872035563585,0.00702179604683606,1.147193165877863,0.1471931658778629,-0.01244009840651561,-1.0,1.0,-1.0,1.0,0.6907296931363551,PL122002,2.792111297476381
712,R188,PL21,Malopolskie,2002,PL,PL2,8.972093628070215,1.8340501356925247,1.3947696461430839,2.8771010364077414,4.542862329543,5.3967136101533,1.116765686850473,0.032369584269439144,0.8422640645790697,-0.14105447082933975,0.9487873343528079,-0.04163669493303368,0.9400787487973418,-0.026297515567276664,0.9449300594398725,-0.04132333208481498,0.9419938753832846,-0.05104955058025906,1.116765686850473,0.11676568685047295,0.032369584269439144,1.0,-1.0,-1.0,1.0,0.3412254075801946,PL212002,2.519612573745559
713,R189,PL22,Slaskie,2002,PL,PL2,9.58901231208501,1.8751452068656456,1.3950805596795364,2.878380040545142,4.569928616828173,5.254354178241998,1.170376828670342,0.020379478808098872,0.8321172645729425,-0.15341619231788917,0.953341377347314,-0.05485316440178012,0.9160434922226388,-0.06556669494488776,0.9667456223171764,-0.023992401694700738,0.9413148483794476,-0.02883134538188936,1.170376828670342,0.17037682867034198,0.020379478808098872,1.0,1.0,-1.0,1.0,0.9570281102206768,PL222002,2.3759741376968564
714,R190,PL31,Lubelskie,2002,PL,PL3,8.384647485542306,1.8763216087393828,1.4592958230504658,2.752160048397287,4.557923181903492,5.549701301579014,1.128682764959346,-0.019241787153093215,0.8120766788655954,-0.17812337715178717,0.9597150468984098,-0.04516132895895508,0.9786027658916618,-0.03619258131509118,0.963139452289573,-0.03116666525411349,0.9650772843144151,-0.02235716495501794,1.128682764959346,0.12868276495934605,-0.019241787153093215,-1.0,-1.0,-1.0,1.0,0.4781105523077409,PL312002,2.797541253181727
715,R191,PL32,Podkarpackie,2002,PL,PL3,8.328110422990413,1.8562728216289364,1.4548212247345884,3.036997495490787,4.52274452706273,5.2241600081332695,1.1590624650965256,-0.0043800577056145595,0.9071408693454853,-0.08325030708479808,0.9651972107702785,-0.04268882054962575,0.9432077190483686,-0.042906678559129885,0.9671428801703407,-0.029734945591022632,0.9576438737641911,-0.02552628951097069,1.1590624650965256,0.15906246509652555,-0.0043800577056145595,-1.0,1.0,-1.0,1.0,0.8270660271368399,PL322002,2.1871625126424825
716,R192,PL33,Swietokrzyskie,2002,PL,PL3,7.973841361606466,1.8962387292183147,1.4704173324169072,2.701395402472464,4.528504759437624,5.5347493478680185,1.1590260895374485,0.03430298183963565,0.8037920067398127,-0.18272191103552549,0.9515634568102727,-0.05252724396167707,0.9473549690017531,-0.036182185346426254,0.9552651193914952,-0.03816336776595386,0.9341999464392327,-0.04777772924988166,1.1590260895374485,0.15902608953744846,0.03430298183963565,1.0,1.0,-1.0,1.0,0.8266482004159504,PL332002,2.8333539453955545
717,R193,PL34,Podlaskie,2002,PL,PL3,7.948555513637391,1.887878182104475,1.3930632689409683,2.0000000000000053,4.4936817505652185,5.716869398180807,1.1856193415553629,-0.0074686636133505235,0.5927699640799525,-0.40551107875447856,0.9535702215056715,-0.0593326362094978,1.0080794200940462,-0.001557429109576125,0.970008357848778,-0.024579587567786443,0.9397289453249682,-0.02739454865348112,1.1856193415553629,0.18561934155536286,-0.0074686636133505235,-1.0,1.0,-1.0,1.0,1.1321107574279687,PL342002,3.716869398180802
718,R194,PL41,Wielkopolskie,2002,PL,PL4,9.215786417620821,1.9004645415506332,1.3479294777332953,2.840372393257664,4.683173546532691,5.6489442550889715,1.106588198365623,-0.04051012960604239,0.8147454303186918,-0.1724905893361416,0.9587323397736348,-0.05108536772817829,0.9824767806265386,-0.026910635965366136,0.9658927711385132,-0.026741970392344605,0.9564466540868601,-0.01609456243683649,1.106588198365623,0.10658819836562294,-0.04051012960604239,-1.0,-1.0,-1.0,1.0,0.22432200462487342,PL412002,2.8085718618313074
719,R195,PL42,Zachodniopomorskie,2002,PL,PL4,8.533900773817955,1.85577291097542,1.3036740845280068,2.8423003707192724,4.631267485070061,5.377469796451029,1.105016409935042,-0.008337888823979789,0.814184795659229,-0.17432807688624852,0.9462140765818859,-0.05481926352796729,0.9735787343586373,-0.04223881467576596,0.9544012868651616,-0.03803786101152218,0.9366060893261502,-0.04482285785403006,1.105016409935042,0.10501640993504191,-0.008337888823979789,-1.0,-1.0,-1.0,1.0,0.20626770600942923,PL422002,2.5351694257317567
720,R196,PL43,Lubuskie,2002,PL,PL4,7.876791581320256,1.8247992857165563,1.3431593664249657,2.8407053249596044,4.505342744405817,5.338577893968601,1.111596792126734,0.011008029769747685,0.8385510242646417,-0.1365833372439631,0.9529917473922968,-0.04396761097532287,0.9777250539382012,-0.03027546461830566,0.9469174436444853,-0.03563450088252951,0.936269855040296,-0.05146459755143784,1.111596792126734,0.11159679212673401,0.011008029769747685,1.0,-1.0,-1.0,1.0,0.28185306010739936,PL432002,2.497872569008997
721,R197,PL51,Dolnoslaskie,2002,PL,PL5,9.084007795160336,1.8557017539052925,1.3637120924698851,2.837296243320835,4.605018251905099,5.272479820540214,1.133463651830823,0.04664616993171333,0.8218578819002494,-0.15461099312840887,0.9499212102437189,-0.03306504579945746,0.9498869533795253,-0.04879173661448566,0.9539825541850772,-0.02898549755132418,0.9410693912523402,-0.05656816804077014,1.133463651830823,0.13346365183082298,0.04664616993171333,1.0,-1.0,1.0,1.0,0.5330260597290504,PL512002,2.4351835772193793
722,R198,PL52,Opolskie,2002,PL,PL5,7.821152345506047,1.9130820516794398,1.4295992656131884,2.795342528356266,4.606971468786766,5.314645444607717,1.1079157353779154,0.006823052121715412,0.8352494683524051,-0.15609046725899778,0.972295424878517,-0.03231480013243404,0.9720762535413542,-0.03378077801723378,0.9738851030011191,-0.017976392467960567,0.9430949031111923,-0.029734131202979075,1.1079157353779154,0.10791573537791543,0.006823052121715412,1.0,-1.0,-1.0,1.0,0.2395707169685081,PL522002,2.5193029162514513
723,R199,PL61,KujawskoPomorskie,2002,PL,PL6,8.626301684213331,1.8939466026799043,1.4230791839037615,2.0000000000000044,4.418407917543215,5.63138326816699,1.1234228740540617,-0.006346389665540908,0.5811451884178299,-0.4004774375284388,0.9246025157762555,-0.07218811951627901,0.980622420186419,-0.011513390698902226,0.9455050312790576,-0.04189780698336021,0.9391855564562056,-0.04418056275796656,1.1234228740540617,0.12342287405406172,-0.006346389665540908,-1.0,-1.0,-1.0,1.0,0.4176929800435414,PL612002,3.631383268166986
724,R200,PL62,WarminskoMazurskie,2002,PL,PL6,8.030899992539709,1.9142991955741169,1.479385343897421,2.7198120644639117,4.52158025014343,5.450901604240077,1.1044374189735147,-0.00020287546529518252,0.801348123331405,-0.1833619290147659,0.9623846766621598,-0.04072743603509088,0.9810760434943364,-0.010340245899864264,0.9732591289349334,-0.018468658917053404,0.9669166220793578,-0.018440486344954765,1.1044374189735147,0.10443741897351466,-0.00020287546529518252,-1.0,-1.0,-1.0,1.0,0.19961714445058643,PL622002,2.731089539776165
725,R201,PL63,Pomorskie,2002,PL,PL6,8.756773408979694,1.8768148681070538,1.3844422954445774,2.9792884708180196,4.616794671883129,5.231011351893422,1.1581002812774583,0.04284343572335603,0.8707455608871281,-0.11116619995334354,0.9650918345688633,-0.025035428934268467,0.9570173976522505,-0.04507726829523717,0.9682106903085524,-0.018599180076272037,0.9487685842279431,-0.03736677362186658,1.1581002812774583,0.15810028127745834,0.04284343572335603,1.0,1.0,-1.0,1.0,0.8160139328126907,PL632002,2.251722881075402
726,R202,PT11,Norte,2002,PT,PT1,9.750433758154182,1.6524046836190762,1.4099992357356812,2.560572767071425,4.449696333979294,5.217334854201168,1.095654764857858,0.03045608486680873,0.7874732015354919,-0.21127956865138386,0.9395376902567684,-0.06525597525683036,0.953391344598993,-0.04955691804494666,0.8780671724645166,-0.11836369350294784,0.890283463953792,-0.10082188564072603,1.095654764857858,0.09565476485785807,0.03045608486680873,-1.0,-1.0,-1.0,1.0,0.09873546282273002,PT112002,2.6567620871297426
727,R203,PT15,Algarve,2002,PT,PT1,8.015911663766603,1.662733869606521,1.5251027428439392,2.0000000000000044,4.412622536595184,5.563666041843636,1.14833983614317,0.06395510998242626,0.6174472750856077,-0.38298179886240113,0.9007149599591261,-0.10074550441810881,0.9560983457776496,-0.03454108919622956,0.8296989320216804,-0.17251180917274878,0.8382385333010521,-0.1592036738083521,1.14833983614317,0.14833983614317003,0.06395510998242626,1.0,1.0,1.0,1.0,0.7039008852513478,PT152002,3.5636660418436312
728,R204,PT16,Centro_PT,2002,PT,PT1,9.45194755370105,1.6677541676169467,1.402304576423471,2.4696228743615487,4.427870074676816,5.37492139305344,1.096601611289014,0.04710815468337315,0.7556474747406446,-0.24109742752995933,0.9130051474999212,-0.09200527980609507,0.9537989495864003,-0.04179729352124484,0.8721854455067867,-0.12559008713178166,0.8804149559028378,-0.11799277804856789,1.096601611289014,0.09660161128901401,0.04710815468337315,1.0,-1.0,1.0,1.0,0.10961138472065222,PT162002,2.9052985186918914
