Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61
R1,AT11,Burgenland,ss1,Agriculture,16.82144973,148.1177171
R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,59.61946415,153.7362563
R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,58.87629408,83.81640564
R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,13.74424199,10.74789301
R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,54.43033881,81.76710808
R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,122.8224261,84.43986265
R1,AT11,Burgenland,ss8,Other_manufacturing,261.8386913,189.5796017
R1,AT11,Burgenland,ss9,Construction,218.4063472,232.7179759
R1,AT11,Burgenland,ss10,Distribution,341.3231187,331.360612
R1,AT11,Burgenland,ss11,Hotels_and_restaurant,137.1886917,171.1545048
R1,AT11,Burgenland,ss12,Transport_storage_and_communication,145.4169404,167.9732865
R1,AT11,Burgenland,ss13,Financial_intermediation,128.0616278,130.2984599
R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,157.644941,814.1345227
R1,AT11,Burgenland,ss15,Non-Market_Service,989.0583762,335.8478749
R2,AT12,Niederosterreich,ss1,Agriculture,81.78756711,936.5573418
R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,327.0079627,977.2388883
R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,389.5746864,641.7558817
R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,97.76990515,88.40946951
R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,449.2561473,781.637395
R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,516.9476184,410.2902473
R2,AT12,Niederosterreich,ss8,Other_manufacturing,2184.297138,1819.038868
R2,AT12,Niederosterreich,ss9,Construction,1382.626954,1557.573394
R2,AT12,Niederosterreich,ss10,Distribution,2998.723542,2337.215449
R2,AT12,Niederosterreich,ss11,Hotels_and_restaurant,789.6298314,791.4964646
R2,AT12,Niederosterreich,ss12,Transport_storage_and_communication,1404.076161,1302.125084
R2,AT12,Niederosterreich,ss13,Financial_intermediation,882.834048,788.5978583
R2,AT12,Niederosterreich,ss14,Real_estate_renting_and_busine_activitie,1257.882429,5804.150405
R2,AT12,Niederosterreich,ss15,Non-Market_Service,5511.413823,2400.130125
R3,AT13,Wien,ss1,Agriculture,16.91256963,14.66285225
R3,AT13,Wien,ss2,Mining_quarrying_and_energy_supply,487.7094562,1337.399347
R3,AT13,Wien,ss3,Food_beverages_and_tobacco,367.6667379,551.874349
R3,AT13,Wien,ss4,Textiles_and_leather_etc,98.33192435,80.80986314
R3,AT13,Wien,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,113.5648059,179.7365572
R3,AT13,Wien,ss6,Electrical_and_optical_equipment_and_Transport_equipment,1734.912344,1245.817078
R3,AT13,Wien,ss8,Other_manufacturing,2063.491667,1553.316198
R3,AT13,Wien,ss9,Construction,2154.930723,1617.658339
R3,AT13,Wien,ss10,Distribution,4884.763714,4186.176361
R3,AT13,Wien,ss11,Hotels_and_restaurant,1471.872018,1638.528724
R3,AT13,Wien,ss12,Transport_storage_and_communication,2083.813977,2143.224463
R3,AT13,Wien,ss13,Financial_intermediation,2794.751054,1302.696413
R3,AT13,Wien,ss14,Real_estate_renting_and_busine_activitie,4156.263438,10846.14387
R3,AT13,Wien,ss15,Non-Market_Service,11375.71727,4097.213789
R4,AT21,Karnten,ss1,Agriculture,21.29251474,245.9904503
R4,AT21,Karnten,ss2,Mining_quarrying_and_energy_supply,146.4569596,368.3328486
R4,AT21,Karnten,ss3,Food_beverages_and_tobacco,99.15147213,137.3538277
R4,AT21,Karnten,ss4,Textiles_and_leather_etc,24.64574761,18.7324324
R4,AT21,Karnten,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,133.9713418,195.855551
R4,AT21,Karnten,ss6,Electrical_and_optical_equipment_and_Transport_equipment,355.9907524,237.6191249
R4,AT21,Karnten,ss8,Other_manufacturing,776.2681949,544.5138757
R4,AT21,Karnten,ss9,Construction,625.8297146,472.686929
R4,AT21,Karnten,ss10,Distribution,882.5669051,764.8347399
R4,AT21,Karnten,ss11,Hotels_and_restaurant,388.4193478,433.1632154
R4,AT21,Karnten,ss12,Transport_storage_and_communication,381.6369402,393.8936247
R4,AT21,Karnten,ss13,Financial_intermediation,444.4890288,308.5005041
R4,AT21,Karnten,ss14,Real_estate_renting_and_busine_activitie,535.0174415,1933.824966
R4,AT21,Karnten,ss15,Non-Market_Service,2084.137628,869.1493965
R5,AT22,Steiermark,ss1,Agriculture,54.23511049,631.6410012
R5,AT22,Steiermark,ss2,Mining_quarrying_and_energy_supply,289.6160384,619.0247427
R5,AT22,Steiermark,ss3,Food_beverages_and_tobacco,230.2295772,271.8084306
R5,AT22,Steiermark,ss4,Textiles_and_leather_etc,43.831448,28.40751814
R5,AT22,Steiermark,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,382.3714577,476.1509917
R5,AT22,Steiermark,ss6,Electrical_and_optical_equipment_and_Transport_equipment,799.265167,456.730241
R5,AT22,Steiermark,ss8,Other_manufacturing,2252.445372,1356.431474
R5,AT22,Steiermark,ss9,Construction,1088.225474,1101.870064
R5,AT22,Steiermark,ss10,Distribution,2005.335312,1591.84576
R5,AT22,Steiermark,ss11,Hotels_and_restaurant,668.0023695,679.2627703
R5,AT22,Steiermark,ss12,Transport_storage_and_communication,879.8668344,828.4058969
R5,AT22,Steiermark,ss13,Financial_intermediation,550.6526349,423.9907186
R5,AT22,Steiermark,ss14,Real_estate_renting_and_busine_activitie,1164.40554,4482.625883
R5,AT22,Steiermark,ss15,Non-Market_Service,5838.096656,1567.53554
R6,AT31,Oberosterreich,ss1,Agriculture,48.85576612,763.1396718
R6,AT31,Oberosterreich,ss2,Mining_quarrying_and_energy_supply,294.769084,689.7305506
R6,AT31,Oberosterreich,ss3,Food_beverages_and_tobacco,420.2328729,541.9388024
R6,AT31,Oberosterreich,ss4,Textiles_and_leather_etc,120.0487072,85.0003477
R6,AT31,Oberosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,574.1616687,781.4620285
R6,AT31,Oberosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,831.477068,517.6178587
R6,AT31,Oberosterreich,ss8,Other_manufacturing,3140.249975,2051.193712
R6,AT31,Oberosterreich,ss9,Construction,1620.846431,1520.755549
R6,AT31,Oberosterreich,ss10,Distribution,3051.071626,2135.110095
R6,AT31,Oberosterreich,ss11,Hotels_and_restaurant,734.6446188,659.1397261
R6,AT31,Oberosterreich,ss12,Transport_storage_and_communication,1263.425751,1049.42357
R6,AT31,Oberosterreich,ss13,Financial_intermediation,967.5251214,701.6737427
R6,AT31,Oberosterreich,ss14,Real_estate_renting_and_busine_activitie,1650.428858,6107.167251
R6,AT31,Oberosterreich,ss15,Non-Market_Service,6810.656773,2145.177396
R7,AT32,Salzburg,ss1,Agriculture,27.10094476,200.056325
R7,AT32,Salzburg,ss2,Mining_quarrying_and_energy_supply,140.9713199,414.1747686
R7,AT32,Salzburg,ss3,Food_beverages_and_tobacco,124.5650976,201.6034976
