,causes,caused,weight
227,AT11,UKG2,0
228,AT11,UKG3,0
229,AT11,UKH1,0
230,AT11,UKH2,0
231,AT11,UKH3,0
232,AT11,UKI1,0
233,AT11,UKI2,0
234,AT11,UKJ1,0
235,AT11,UKJ2,1
236,AT11,UKJ3,0
237,AT11,UKJ4,0
238,AT11,UKK1,0
239,AT11,UKK2,0
240,AT11,UKK3,0
241,AT11,UKK4,0
242,AT11,UKL1,0
243,AT11,UKL2,0
244,AT11,UKM2,0
245,AT11,UKM3,0
246,AT11,UKM5,0
247,AT11,UKM6,0
248,AT11,UKN0,0
249,AT12,AT11,0
250,AT12,AT12,0
251,AT12,AT13,0
252,AT12,AT21,0
253,AT12,AT22,0
254,AT12,AT31,0
255,AT12,AT32,0
256,AT12,AT33,0
257,AT12,AT34,0
258,AT12,BE10,0
259,AT12,BE21,0
260,AT12,BE22,0
261,AT12,BE23,1
262,AT12,BE24,0
263,AT12,BE25,0
264,AT12,BE31,0
265,AT12,BE32,0
266,AT12,BE33,0
267,AT12,BE34,0
268,AT12,BE35,0
269,AT12,CZ01,0
270,AT12,CZ02,0
271,AT12,CZ03,0
272,AT12,CZ04,1
273,AT12,CZ05,0
274,AT12,CZ06,0
275,AT12,CZ07,0
276,AT12,CZ08,0
277,AT12,DE11,0
278,AT12,DE12,0
279,AT12,DE13,0
280,AT12,DE14,0
281,AT12,DE21,0
282,AT12,DE22,0
283,AT12,DE23,0
284,AT12,DE24,0
285,AT12,DE25,0
286,AT12,DE26,0
287,AT12,DE27,0
288,AT12,DE30,0
289,AT12,DE41,0
290,AT12,DE42,0
291,AT12,DE50,0
292,AT12,DE60,0
293,AT12,DE71,0
294,AT12,DE72,0
295,AT12,DE73,0
296,AT12,DE80,0
297,AT12,DE91,0
298,AT12,DE92,0
299,AT12,DE93,0
300,AT12,DE94,0
301,AT12,DEA1,0
302,AT12,DEA2,0
303,AT12,DEA3,0
304,AT12,DEA4,0
305,AT12,DEA5,0
306,AT12,DEB1,0
307,AT12,DEB2,0
308,AT12,DEB3,0
309,AT12,DEC0,0
310,AT12,DED1,0
311,AT12,DED2,0
312,AT12,DED3,0
313,AT12,DEE1,0
314,AT12,DEE2,0
315,AT12,DEE3,0
316,AT12,DEF0,0
317,AT12,DEG0,0
318,AT12,DK01,0
319,AT12,DK02,0
320,AT12,DK03,0
321,AT12,EE00,1
322,AT12,ES11,0
323,AT12,ES12,0
324,AT12,ES13,0
325,AT12,ES21,0
326,AT12,ES22,0
327,AT12,ES23,0
328,AT12,ES24,0
329,AT12,ES30,0
330,AT12,ES41,0
331,AT12,ES42,0
332,AT12,ES43,0
