Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61
R1,AT11,Burgenland,ss1,Agriculture,9.401262031,155.65312
R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,48.81961656,115.546711
R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,63.10393839,72.23441215
R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,16.38769009,13.57444072
R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,52.02436078,74.25925648
R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,109.9127601,94.99842528
R1,AT11,Burgenland,ss8,Other_manufacturing,233.896502,215.5984983
R1,AT11,Burgenland,ss9,Construction,176.9805184,218.2372496
R1,AT11,Burgenland,ss10,Distribution,293.0951339,304.8442008
R1,AT11,Burgenland,ss11,Hotels_and_restaurant,108.5445201,136.9826718
R1,AT11,Burgenland,ss12,Transport_storage_and_communication,126.2665691,159.7002623
R1,AT11,Burgenland,ss13,Financial_intermediation,108.3127504,143.6655084
R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,153.4407215,656.0264949
R1,AT11,Burgenland,ss15,Non-Market_Service,898.6801439,273.376139
R2,AT12,Niederosterreich,ss1,Agriculture,48.51607475,871.4041085
R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,306.2605466,752.6642959
R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,428.6427253,506.9467136
R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,125.1671052,106.9316446
R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,459.7857211,679.4852542
R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,512.4594834,456.6624723
R2,AT12,Niederosterreich,ss8,Other_manufacturing,2024.970777,1923.966532
R2,AT12,Niederosterreich,ss9,Construction,1174.707821,1414.091635
R2,AT12,Niederosterreich,ss10,Distribution,2925.574827,2061.768105
R2,AT12,Niederosterreich,ss11,Hotels_and_restaurant,696.6168431,600.6069201
R2,AT12,Niederosterreich,ss12,Transport_storage_and_communication,1309.288444,1129.099797
R2,AT12,Niederosterreich,ss13,Financial_intermediation,661.9026665,969.2796153
R2,AT12,Niederosterreich,ss14,Real_estate_renting_and_busine_activitie,983.6488767,4833.095338
R2,AT12,Niederosterreich,ss15,Non-Market_Service,3835.056447,2173.480309
R3,AT13,Wien,ss1,Agriculture,71.79367816,44.62622941
R3,AT13,Wien,ss2,Mining_quarrying_and_energy_supply,464.8234412,964.8736941
R3,AT13,Wien,ss3,Food_beverages_and_tobacco,405.2566099,401.332689
R3,AT13,Wien,ss4,Textiles_and_leather_etc,123.7748394,88.52330561
R3,AT13,Wien,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,118.7308843,146.8237608
R3,AT13,Wien,ss6,Electrical_and_optical_equipment_and_Transport_equipment,1741.055245,1295.024547
R3,AT13,Wien,ss8,Other_manufacturing,2241.014893,1768.564193
R3,AT13,Wien,ss9,Construction,1979.084709,1482.094283
R3,AT13,Wien,ss10,Distribution,3454.257746,4145.759209
R3,AT13,Wien,ss11,Hotels_and_restaurant,998.995165,1467.984156
R3,AT13,Wien,ss12,Transport_storage_and_communication,1561.919899,2300.091408
R3,AT13,Wien,ss13,Financial_intermediation,2233.673586,1762.112261
R3,AT13,Wien,ss14,Real_estate_renting_and_busine_activitie,3388.437559,9793.953502
R3,AT13,Wien,ss15,Non-Market_Service,9732.726413,3806.233313
R4,AT21,Karnten,ss1,Agriculture,17.57631748,257.304849
R4,AT21,Karnten,ss2,Mining_quarrying_and_energy_supply,128.1358534,311.7288059
R4,AT21,Karnten,ss3,Food_beverages_and_tobacco,105.2911446,124.0483769
R4,AT21,Karnten,ss4,Textiles_and_leather_etc,33.24679446,28.33791443
R4,AT21,Karnten,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,135.2207966,198.5893297
R4,AT21,Karnten,ss6,Electrical_and_optical_equipment_and_Transport_equipment,326.0122835,290.1190098
R4,AT21,Karnten,ss8,Other_manufacturing,672.8264636,638.2072527
R4,AT21,Karnten,ss9,Construction,480.9428589,477.6553508
R4,AT21,Karnten,ss10,Distribution,807.1699585,683.0525938
R4,AT21,Karnten,ss11,Hotels_and_restaurant,333.2855761,341.1840635
R4,AT21,Karnten,ss12,Transport_storage_and_communication,363.5437064,373.0884252
R4,AT21,Karnten,ss13,Financial_intermediation,334.9061537,385.2145237
R4,AT21,Karnten,ss14,Real_estate_renting_and_busine_activitie,425.3290112,1570.733617
R4,AT21,Karnten,ss15,Non-Market_Service,2089.721631,653.2270627
R5,AT22,Steiermark,ss1,Agriculture,32.78184698,657.3794674
R5,AT22,Steiermark,ss2,Mining_quarrying_and_energy_supply,276.2288732,539.1671413
R5,AT22,Steiermark,ss3,Food_beverages_and_tobacco,251.5035801,236.841004
R5,AT22,Steiermark,ss4,Textiles_and_leather_etc,55.7951416,37.97562344
R5,AT22,Steiermark,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,387.393856,455.1273134
R5,AT22,Steiermark,ss6,Electrical_and_optical_equipment_and_Transport_equipment,770.6544467,549.0720761
R5,AT22,Steiermark,ss8,Other_manufacturing,2046.828647,1554.677498
R5,AT22,Steiermark,ss9,Construction,956.0859056,1044.646997
R5,AT22,Steiermark,ss10,Distribution,1951.799636,1461.136077
R5,AT22,Steiermark,ss11,Hotels_and_restaurant,603.405725,548.4871393
R5,AT22,Steiermark,ss12,Transport_storage_and_communication,847.0452303,771.3656579
R5,AT22,Steiermark,ss13,Financial_intermediation,499.7416215,553.689664
R5,AT22,Steiermark,ss14,Real_estate_renting_and_busine_activitie,1082.413933,3901.973009
R5,AT22,Steiermark,ss15,Non-Market_Service,4456.247038,1479.132576
R6,AT31,Oberosterreich,ss1,Agriculture,33.75363408,740.1180086
R6,AT31,Oberosterreich,ss2,Mining_quarrying_and_energy_supply,271.0855212,647.0423188
R6,AT31,Oberosterreich,ss3,Food_beverages_and_tobacco,413.4997167,476.9752548
R6,AT31,Oberosterreich,ss4,Textiles_and_leather_etc,152.8867262,127.5503257
R6,AT31,Oberosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,527.758862,759.1499579
R6,AT31,Oberosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,665.4467694,579.8194864
R6,AT31,Oberosterreich,ss8,Other_manufacturing,2426.167516,2255.89487
R6,AT31,Oberosterreich,ss9,Construction,1484.827363,1332.467746
R6,AT31,Oberosterreich,ss10,Distribution,2576.562424,1967.783308
R6,AT31,Oberosterreich,ss11,Hotels_and_restaurant,587.3446684,544.5239084
R6,AT31,Oberosterreich,ss12,Transport_storage_and_communication,1080.156196,1002.276413
R6,AT31,Oberosterreich,ss13,Financial_intermediation,842.1208217,875.118113
R6,AT31,Oberosterreich,ss14,Real_estate_renting_and_busine_activitie,1478.913346,4890.94691
R6,AT31,Oberosterreich,ss15,Non-Market_Service,6397.459357,1528.426449
R7,AT32,Salzburg,ss1,Agriculture,22.77809868,204.6932504
R7,AT32,Salzburg,ss2,Mining_quarrying_and_energy_supply,121.966673,328.6438011
