Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61
R1,AT11,Burgenland,ss1,Agriculture,7.584166799,176.5667293
R1,AT11,Burgenland,ss2,Mining_quarrying_and_energy_supply,46.57422759,112.4199938
R1,AT11,Burgenland,ss3,Food_beverages_and_tobacco,62.62882914,75.20156443
R1,AT11,Burgenland,ss4,Textiles_and_leather_etc,18.53903973,14.55422069
R1,AT11,Burgenland,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,51.14278131,66.41478421
R1,AT11,Burgenland,ss6,Electrical_and_optical_equipment_and_Transport_equipment,97.69145593,91.40136724
R1,AT11,Burgenland,ss8,Other_manufacturing,220.1064386,205.4728817
R1,AT11,Burgenland,ss9,Construction,189.6276334,194.4293184
R1,AT11,Burgenland,ss10,Distribution,292.7109328,267.7156726
R1,AT11,Burgenland,ss11,Hotels_and_restaurant,107.5610129,121.5589032
R1,AT11,Burgenland,ss12,Transport_storage_and_communication,129.3401863,171.1262473
R1,AT11,Burgenland,ss13,Financial_intermediation,109.9526635,116.4025429
R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,153.9655433,554.4103314
R1,AT11,Burgenland,ss15,Non-Market_Service,817.5541527,253.7496465
R2,AT12,Niederosterreich,ss1,Agriculture,49.52243942,984.3091522
R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,299.7994863,685.3308278
R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,419.6939909,474.7183575
R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,139.4834171,102.9173956
R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,456.0889921,558.1580964
R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,463.7058173,408.0070245
R2,AT12,Niederosterreich,ss8,Other_manufacturing,1924.056617,1686.374197
R2,AT12,Niederosterreich,ss9,Construction,1178.780445,1262.053308
R2,AT12,Niederosterreich,ss10,Distribution,2768.157676,1824.669727
