,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_d,sp61_resi,sp61_resi_alt,sp61_resi_regional,sp61_resi_regional_alt,sp61_resi_regional_alt_cont
0,R1,AT11,Burgenland,2000,AT,AT1,2153.32053297,1.8789756912014655,2.067479336395444,3.0293308438891113,4.209614201339109,5.524483709822416,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,R2,AT12,Niederosterreich,2000,AT,AT1,15579.8479335,1.8943659108275148,1.8427954626725547,3.0878103975070488,4.346249446963742,5.562433654128871,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,R3,AT13,Wien,2000,AT,AT1,22327.02341576,1.8068240007890402,1.9797829214193934,3.0637991116038528,4.0839613490024975,4.760003934594666,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,R4,AT21,Karnten,2000,AT,AT2,5154.23392413,1.8694454310882738,2.0330233440686887,3.0566098646769726,4.235753831063909,5.33315631024505,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,R5,AT22,Steiermark,2000,AT,AT2,11356.30039979,1.8965067428049591,2.0139277976491257,3.07970520474611,4.24650085771007,5.434128602789894,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,R6,AT31,Oberosterreich,2000,AT,AT3,14585.9050219,1.8661129439569448,1.9366090245312897,3.100704088588055,4.262530641614125,5.504818243525153,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,R7,AT32,Salzburg,2000,AT,AT3,7107.85306045,1.870276390870776,1.8692494329647797,3.0322786169403413,4.338588119904171,5.152012882038311,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,R8,AT33,Tirol,2000,AT,AT3,8931.86629184,1.880935004388201,1.8258455007549073,3.0192666875205147,4.3453239310759475,5.054139832509785,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,R9,AT34,Vorarlberg,2000,AT,AT3,4254.05554127,1.8406319590487212,1.8280140187164517,3.009245002128731,4.2114809246364,5.178381395333874,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,R10,BE10,Region_de_BruxellesCapitale,2000,BE,BE1,19276.320217200002,1.8251202230401535,1.8079624008109694,3.0743318724934383,4.516166869682023,5.4123269378173635,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
