,index,Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61,Nuts0,Nuts1,trophic_depth_2000,trophic_depth_2001,trophic_depth_2002,trophic_depth_2003,trophic_depth_2004,trophic_depth_2005,trophic_depth_2006,trophic_depth_2007,trophic_depth_2008,trophic_depth_2009,trophic_depth_2010
AT11_ss12,10,R1,AT11,Burgenland,ss12,Transport_storage_and_communication,116.5471302,139.0551266,AT,AT1,3.9973429533712217,4.041988789032638,4.483152972283605,4.068115841338374,4.17454310422286,4.488640494425754,4.587950881215259,4.599372037247168,4.698449921212042,4.562361016776261,4.59433683862641
AT11_ss13,11,R1,AT11,Burgenland,ss13,Financial_intermediation,111.4238337,126.480083,AT,AT1,3.5619328253686984,3.725607245178878,4.614632455925893,3.7420554031691964,3.804662467622114,4.011049574078001,4.088795302949908,4.133183850566649,4.140010573700547,4.058690145576094,4.01253323749687
AT11_ss14,12,R1,AT11,Burgenland,ss14,Real_estate_renting_and_busine_activitie,121.7825975,460.6355013,AT,AT1,4.2035294338526885,4.284548437200039,4.4547054417834975,4.300060209515557,4.433945765298276,4.57680510982788,4.699336756329583,4.7744408760576995,4.871766670071535,4.915813192500302,4.904878656146403
AT11_ss15,13,R1,AT11,Burgenland,ss15,Non-Market_Service,738.4475843,237.6372662,AT,AT1,3.0293308438891113,3.105630945794058,2.3558067049399263,3.123164453515019,3.2037734237121995,3.261842343171872,3.2974146599064396,3.3206822815639923,3.369855623286006,3.346967565560508,3.3807963137690242
AT12_ss1,14,R2,AT12,Niederosterreich,ss1,Agriculture,44.66021566,1019.206548,AT,AT1,5.562433654128871,5.683251210891399,5.033842902963616,5.725355627238102,5.754828095525962,5.824995293400997,5.918815400401467,6.050509322984249,6.17626744085813,5.957830012145006,5.981644548971968
AT12_ss2,15,R2,AT12,Niederosterreich,ss2,Mining_quarrying_and_energy_supply,267.7039124,606.6972354,AT,AT1,4.771858413243567,5.095458312206148,4.82209914068812,5.4933584757923875,5.555487036530522,5.801309710640979,6.177191547819152,6.348281720403406,6.656374386714887,6.877456861037203,6.8457949440620425
AT12_ss3,16,R2,AT12,Niederosterreich,ss3,Food_beverages_and_tobacco,385.1170748,446.1299539,AT,AT1,4.946661182477726,5.060419106360737,3.6404801886470164,5.027339657179107,5.070227999897609,5.139366193732116,5.254569261165425,5.35806141108954,5.568445667887055,5.487271941712368,5.531840036253325
AT12_ss4,17,R2,AT12,Niederosterreich,ss4,Textiles_and_leather_etc,172.0506477,154.8019201,AT,AT1,4.445623123680672,4.480641469192431,4.109657804856442,4.520432628923393,4.604113083642457,4.628952921869743,4.681072136765355,4.712920150878435,4.856878867486788,4.728691047061005,4.867548868493855
AT12_ss5,18,R2,AT12,Niederosterreich,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,436.8093388,719.1986089,AT,AT1,4.736870643691084,4.819423758583371,4.761579542316109,4.799432456795717,4.889647805393342,5.033281188423562,5.036883152260678,5.123585699096724,5.361336708621657,5.343036408410176,5.370851443881982
AT12_ss6,19,R2,AT12,Niederosterreich,ss6,Electrical_and_optical_equipment_and_Transport_equipment,486.9125563,446.0724597,AT,AT1,4.946009064659037,5.043094937470206,5.403389651049089,5.039592074743547,5.145331725500075,5.223473315200282,5.352635889157295,5.377919172745579,5.3550665375014495,5.140844355403538,5.175586800785539
AT12_ss8,20,R2,AT12,Niederosterreich,ss8,Other_manufacturing,1769.757131,1739.676149,AT,AT1,4.5474485441399075,4.596717099011171,4.678694369349072,4.621862854631553,4.743387394123781,4.857129729708866,5.0077721069738494,5.095760360155264,5.2368904904611355,5.116791064407302,5.171222796269033
AT12_ss9,21,R2,AT12,Niederosterreich,ss9,Construction,1250.005135,1136.262738,AT,AT1,4.21289223396887,4.2771608949270075,3.620547162347984,4.375070081958231,4.500064323312817,4.568878777831863,4.732736357474923,4.839012217273781,5.004555642388496,4.911244150723787,4.914638789402198
AT12_ss10,22,R2,AT12,Niederosterreich,ss10,Distribution,2485.414698,1809.650947,AT,AT1,3.703360637215342,3.740440457560714,3.9696982544365067,3.791332621063402,3.8654229770818116,3.9340637158530782,3.981841733491926,4.056172481298313,4.106425685835585,4.005425670982539,3.983189491924815
AT12_ss11,23,R2,AT12,Niederosterreich,ss11,Hotels_and_restaurant,537.9204228,432.5631774,AT,AT1,3.7393971664491725,3.7695090509792006,2.3185790553518437,3.762587732536005,3.808193421798812,3.8230385897210017,3.8907775824679454,4.001682194363349,4.100851569551029,4.018725384110744,4.077650416478241
AT12_ss12,24,R2,AT12,Niederosterreich,ss12,Transport_storage_and_communication,1241.79871,1072.581691,AT,AT1,4.089310880424985,4.07018723836814,4.317398376401407,4.111450084276803,4.293162476777441,4.536308345932276,4.6233462496558,4.695438379539325,4.771964650320835,4.608425372318587,4.666967742407544
AT12_ss13,25,R2,AT12,Niederosterreich,ss13,Financial_intermediation,680.7765129,814.4749581,AT,AT1,3.6897705175785678,3.914691183516833,4.776260853395053,3.958610412557733,3.978201948103223,4.174492100564914,4.21243121344445,4.249227204709264,4.1842212369061595,4.053401009143746,4.021153376378411
AT12_ss14,26,R2,AT12,Niederosterreich,ss14,Real_estate_renting_and_busine_activitie,852.497076,3409.813945,AT,AT1,4.368045798327538,4.5081628248132795,4.637723972716563,4.584231301694715,4.662792596142353,4.825246467781968,4.871539425387661,4.907711951753193,4.967606816389363,4.93390200181241,4.952369976657646
AT12_ss15,27,R2,AT12,Niederosterreich,ss15,Non-Market_Service,3312.57263,1772.717602,AT,AT1,3.0878103975070488,3.1673022590562514,2.3187074983644127,3.2192964661623558,3.2679673410226844,3.3354979543312595,3.3540764634388585,3.3921739852058033,3.445379740429272,3.3913619795686865,3.403069463386061
AT13_ss1,28,R3,AT13,Wien,ss1,Agriculture,87.20166242,15.34678576,AT,AT1,3.558336652491243,3.8659459299330567,3.7302210258879516,4.025159661040325,4.083561651705128,4.176423171075903,4.174103993118197,4.269216117222561,4.459573247929562,4.460891795070247,4.5171637325400615
AT13_ss2,29,R3,AT13,Wien,ss2,Mining_quarrying_and_energy_supply,430.0647697,593.8221445,AT,AT1,4.4582335900599634,4.820023920562958,4.755390654789533,5.36835865264856,5.398559265735592,5.6587560663500724,6.070828927536468,6.2260586372722955,6.524913117273783,6.745755788421761,6.83690307501141
